"","ID","Proud","Success","Superior","Angry","Excluded","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad","Lonely"
"1143",1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144",1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145",1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146",1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148",1148,0.329221237208328,0.403082380667952,0.0602508301026717,0.0495822818570218,0.083945011229778,0,0,0.0281000551860391,0.0693453180583317,0.358971599379253,0.187938784872394,0.0594397573040446,0,0.0512430649711676
"1149",1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150",1150,0.723225067360851,0.915536143158741,0.450292974922682,0.555731220517847,0.37762878557565,0.513020327570194,0.295940994866661,0.489133463922418,0.657128469474602,0.43393030196159,0.489646888162863,0.319320266696304,0.677227315329937,0.816787008386949
"1151",1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152",1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153",1153,0.397061436837475,0.413456362440571,0.313680021364243,0.388923996667417,0.0755928946018455,0.104301180350828,0.0755928946018455,0.0847978082379994,0.390347080605511,0.637099836764912,0.426730833908196,0.107990408086803,0.226232421192229,0
"1154",1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155",1155,0.354620688113124,0.306986852774858,0.0499243074626621,0.163299316185545,0,0,0,0,0,0.258130742231335,0.430909981209973,0.0545248102043496,0,0
"1156",1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157",1157,2.379905074614e-16,1.07490837151405,0,0.380778387629618,0.362510369888835,0,0,0.402309095570321,0.200175755505424,0.211710805965212,0.573036530157587,0,0.313716867427176,0
"1158",1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160",1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161",1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162",1162,0.526127868663364,0.464105429455259,0,0.0894427190999916,0,0,0,0,0.273785248997221,0.421915193921243,0.531536899343388,0.303014911702844,0.128939241823025,0
"1163",1163,0.434055252999052,0.382698386345604,0.190923685282327,0.248163736822353,0.049974385326355,0,0,0.0178776581985748,0.23757086654928,0.375320709256502,0.356554742828558,0.268789856093989,0.142541363654983,0.325150715868662
"1164",1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165",1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166",1166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167",1167,0.161725805953842,0.166081551013889,0.201996317925807,0.189628810259644,0.217882839929666,0.191651115112088,0.221793736312986,0.187511453703058,0.0789675249853239,0.271008865533695,0.183542320691683,0.171296895802416,0.164995043595613,0.128008600783372
"1168",1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169",1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170",1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171",1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172",1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173",1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
