"","X","ID","day","beep","obsNumber","missed","Sad","Angry","Disappointed","Ashamed","Anxious","Stressed","Proud","Happy","Content","Relieved"
"7757",7757,248,1,5,5,1,0.5,0.7,0.63,0.33,0.35,0.67,0.57,0.18,0.29,0.2
"7758",7758,248,1,6,6,1,0.36,0.91,0.83,0.45,0.9,0.89,0.36,0.51,0.3,0.22
"7759",7759,248,1,7,7,1,0.59,0.66,0.56,0.4,0.89,0.89,0.37,0.34,0.35,0.34
"7760",7760,248,1,8,8,1,0.55,0.64,0.64,0.63,0.88,0.94,0.52,0.63,0.45,0.37
"7761",7761,248,1,9,9,1,0.52,0.47,0.41,0.18,0.36,0.66,0.6,0.17,0.59,0.57
"7762",7762,248,1,10,10,1,0.9,0.52,0.27,0.49,0.71,0.7,0.15,0.17,0.21,0.26
"7763",7763,248,2,1,11,1,0.58,0.68,0.43,0.35,0.77,0.95,0.59,0.28,0.39,0.33
"7764",7764,248,2,2,12,1,0.93,0.66,0.69,0.62,0.69,0.62,0.68,0.33,0.67,0.55
"7765",7765,248,2,3,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7766",7766,248,2,4,14,1,0.49,0.44,0.45,0.18,0.68,0.99,0.61,0.21,0.44,0.4
"7767",7767,248,2,5,15,1,0.54,0.57,0.53,0.27,0.78,0.81,0.7,0.41,0.43,0.4
"7768",7768,248,2,6,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7769",7769,248,2,7,17,1,0.72,0.73,0.72,0.69,0.63,0.71,0.67,0.75,0.64,0.66
"7770",7770,248,2,8,18,1,0.42,0.31,0.48,0.24,0.4,0.58,0.29,0.31,0.38,0.36
"7771",7771,248,2,9,19,1,0.55,0.47,0.41,0.5,0.48,0.78,0.21,0.32,0.37,0.41
"7772",7772,248,2,10,20,1,0.05,0.05,0.52,0.15,0.18,0.65,0.44,0.99,0.37,0.45
"7773",7773,248,3,1,21,1,0.59,0.47,0.91,0.37,1,1,0.12,0.14,0.24,0.26
"7774",7774,248,3,2,22,1,0.34,0.32,0.68,0.29,0.76,0.96,0.24,0.07,0.3,0.28
"7775",7775,248,3,3,23,1,0.18,0.17,0.33,0.08,0.14,0.2,1,0.78,0.93,1
"7776",7776,248,3,4,24,1,0.21,0.17,0.12,0.2,0.1,0.09,0.89,0.88,0.98,0.96
"7777",7777,248,3,5,25,1,0.27,0.24,0.2,0.13,0.08,0.02,0.8,0.85,0.94,0.89
"7778",7778,248,3,6,26,1,0.11,0.11,0.1,0.14,0.05,0.09,0.79,0.51,0.73,0.73
"7779",7779,248,3,7,27,1,0.17,0.19,0.11,0.13,0.07,0.05,0.82,0.68,0.79,0.77
"7780",7780,248,3,8,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7781",7781,248,3,9,29,1,0.28,0.2,0.19,0.19,0.19,0.2,0.71,0.79,0.89,0.73
"7782",7782,248,3,10,30,1,0.05,0.05,0.04,0.02,0.04,0.06,0.95,0.98,0.95,0.93
"7783",7783,248,4,1,31,1,0.1,0.18,0.15,0.02,0.1,0.07,0.88,0.94,0.89,0.94
"7784",7784,248,4,2,32,1,0.24,0.21,0.19,0.19,0.19,0.2,0.79,0.78,0.87,0.79
"7785",7785,248,4,3,33,1,0.2,0.15,0.14,0.23,0.11,0.29,0.83,0.85,0.84,0.87
