"","X","ID","day","missing","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"3201",34.7,34,70,0,0.75,0,0,0.75,0,0,0.25,0,0.75,0.5
"3202",34.71,34,71,0,0.75,0,0,0.75,0,0,0,0,0.75,0.75
"3203",34.72,34,72,0,0.75,0,0,0.5,0,0,0,0,0.75,0.5
"3204",34.73,34,73,2,0.5,0,0,0.75,0,NA,0.25,0,0.75,0.5
"3205",34.74,34,74,0,0.75,0,0,0.75,0.25,0,0.25,0,1,0.75
"3206",34.75,34,75,0,0.75,0,0,0.75,0,0,0.25,0,1,0.75
"3207",34.76,34,76,2,0.75,0,0,0.5,0,0,0.5,0,NA,0.75
"3208",34.77,34,77,0,0.75,0.25,0,0.75,0.25,0,0,0,0.75,0.75
"3209",34.78,34,78,0,0.75,0,0,0.75,0,0,0.5,0,0.75,1
"3210",34.79,34,79,2,0.75,0,0,0.75,0,0,0.25,NA,0.75,0.75
"3211",34.8,34,80,0,0.75,0,0,0.75,0,0,0.25,0,0.75,0.75
"3212",34.81,34,81,0,0.75,0,0,0.75,0,0,0.5,0,0.75,0.75
"3213",34.82,34,82,0,0.75,0,0,0.75,0,0,0.25,0,0.75,1
"3214",34.83,34,83,0,0.75,0,0,0.75,0,0,0.75,0,0.75,0.75
"3215",34.84,34,84,0,1,0,0,1,0,0,0.5,0,0.75,0.75
"3216",34.85,34,85,2,NA,0,0,0.75,0,0,0.5,0,0.75,0.75
"3217",34.86,34,86,0,0.75,0,0.25,0.5,0.25,0,0.25,0,0.75,0.75
"3218",34.87,34,87,0,0.75,0,0,0.75,0,0,0.5,0,0.75,0.75
"3219",34.88,34,88,0,0.75,0,0,0.75,0,0,0.25,0,0.75,0.5
"3220",34.89,34,89,0,0.75,0,0,0.75,0.25,0,0.75,0,0.75,1
"3221",34.9,34,90,0,1,0,0.25,0.75,0,0,0.25,0,0.5,1
"3222",34.91,34,91,0,0,0,0,1,0,0,0.75,0,0.75,1
"3223",34.92,34,92,2,0.5,0.25,0,1,0,0.25,0.75,0,0.75,NA
"3224",34.93,34,93,0,0.75,0,0.25,0.75,0,0,0.5,0,0.75,0.75
"3225",34.94,34,94,2,0.75,0,0,0.75,0,NA,0.25,0,0.75,0.75
"3226",34.95,34,95,0,0.75,0,0,0.75,0,0,0.75,0,0.75,0.75
"3227",34.96,34,96,0,0.75,0,0,0.5,0,0,0.25,0,0.75,0.75
"3228",34.97,34,97,0,0.75,0,0,0.75,0,0,0,0,0.75,0.5
"3229",34.98,34,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3230",34.99,34,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3231",34.1,34,100,2,0.75,0,0,0.75,NA,0,0.75,NA,0.75,0.75
"3232",34.101,34,101,0,0.75,0,0,0.75,0,0,0.5,0,0.75,0.75
"3233",35.1,35,1,0,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0,0,0.75
"3234",35.2,35,2,0,0,0.75,0.75,0,0.5,0.75,0,0.25,0,0.75
"3235",35.3,35,3,0,0,0.5,0.5,0.25,0.25,0.75,0,0.25,0,0.25
"3236",35.4,35,4,0,0,0.5,0.5,0,0.75,0.5,0,0.5,0,0
"3237",35.5,35,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3238",35.6,35,6,0,0.75,0.75,0.75,0.75,0.75,0.75,0,0.75,0,0.5
"3239",35.7,35,7,0,0,0.75,0.75,0.25,0.75,0.75,0,0.5,0,0
"3240",35.8,35,8,0,0,0.75,0.75,0.25,0.75,0.75,0.25,0.75,0,0.5
"3241",35.9,35,9,0,0,0.5,0.5,0,0.75,0.5,0,0.5,0,0
"3242",35.1,35,10,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0
"3243",35.11,35,11,0,0,1,1,0,1,1,0.75,0.75,0,0.75
"3244",35.12,35,12,0,0,1,1,0.5,1,1,0,0.75,0,0.5
"3245",35.13,35,13,0,0,1,1,0.25,1,1,0,0.5,0,0
"3246",35.14,35,14,2,0,0.75,0.75,0,1,0.75,0,NA,0,0.75
"3247",35.15,35,15,0,0.5,0.75,0.75,0.5,0.75,1,0.75,0.5,0,1
"3248",35.16,35,16,0,0,0.75,0.5,0.25,0.75,0.75,0.25,0.5,0,0.5
"3249",35.17,35,17,0,0.5,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0,1
"3250",35.18,35,18,0,0.25,0.75,0.75,0,0.75,0.75,0.25,0.75,0,0.25
"3251",35.19,35,19,0,0,0.75,0.75,0.25,0.75,0.75,0,0.75,0,0.25
"3252",35.2,35,20,0,0,0.75,0.75,0,0.75,0.75,0.5,0.75,0,0
"3253",35.21,35,21,0,0,1,0.75,0,0.75,0.75,0,0.75,0,0
"3254",35.22,35,22,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0.25
"3255",35.23,35,23,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0
"3256",35.24,35,24,0,0,0.75,0.75,0.25,0.75,0.5,0,0.5,0,0
"3257",35.25,35,25,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3258",35.26,35,26,0,0,0.75,0.75,0,0.75,0.75,0,0.5,0,0
"3259",35.27,35,27,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0.5
"3260",35.28,35,28,0,0,0.75,0.75,0.25,0.75,0.75,0,0.75,0,0.25
"3261",35.29,35,29,0,0.25,0.5,0.5,0.25,0.5,0.75,0,0.5,0,0.25
"3262",35.3,35,30,0,0.25,0.75,0.75,0.25,0.75,0.75,0,0.75,0,0
"3263",35.31,35,31,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0
"3264",35.32,35,32,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3265",35.33,35,33,0,0,0.75,0.75,0,0.5,0.5,0,0.5,0,0.25
"3266",35.34,35,34,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3267",35.35,35,35,0,0.75,0.75,0.5,0.75,0.5,0.75,0,0.5,0,0.5
"3268",35.36,35,36,0,0.25,0.5,0.5,0.5,0.5,0.75,0,0.5,0,0.5
"3269",35.37,35,37,0,0.25,0.75,0.75,0.5,0.75,0.75,0,0.5,0,0.25
"3270",35.38,35,38,0,0,0.75,0.75,0,0.75,0.75,0.5,0.75,0,0.5
"3271",35.39,35,39,0,0,0.75,0.75,0,0.75,0.75,0.5,0.5,0,1
