"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"132",132,108,2,3,6,0,0,0,0,0,0,0,0.75,0.5
"133",133,108,3,1,7,0,0,0,0,0.25,0,0,1,1
"134",134,108,3,2,8,0,0,0,0,0.75,0,0,0.75,0.75
"135",135,108,3,3,9,0,0.25,0,0,0,0,0,0.5,0.5
"136",136,108,4,1,10,0,0,0,0.5,0,0,0,1,1
"137",137,108,4,2,11,0,0,0.25,0,0.25,0,0,0.75,0.25
"138",138,108,4,3,12,0,0,0,0,0.25,0.25,0.25,0.25,0.25
"139",139,108,5,1,13,0,0,0,0.25,0.5,0,0,0.25,0.5
"140",140,108,5,2,14,0,0,0,0,0,0,0,1,1
"141",141,108,5,3,15,0,0,0,0,0,0,0,1,0.5
"142",142,108,6,1,16,0,0,0,0,0,0,0,1,1
"143",143,108,6,2,17,0,0,0,0,0,0,0,0.75,0.5
"144",144,108,6,3,18,0,0,0,0,0,0,0,0.75,0.5
"145",145,109,1,1,1,0,0.25,0.5,0.25,0,0,0,0.5,0.5
"146",146,109,1,2,2,0,0.25,0.5,0.25,0.25,0,0,0.5,0.25
"147",147,109,1,3,3,0,0.5,0.5,0.25,0.5,0,0,0.25,0.25
"148",148,109,2,1,4,0,0.5,0.75,0.5,0.5,0,0,0.25,0.25
"149",149,109,2,2,5,0,0.75,0.75,0.25,0.5,0,0.5,0.25,0
"150",150,109,2,3,6,0,0.5,0.5,0.5,0.5,0,0,0.25,0
"151",151,109,3,1,7,0,0.5,0.5,0.75,0.5,0,0,0.25,0
"152",152,109,3,2,8,0,0.5,0.5,0.5,0.5,0,0,0.25,0
"153",153,109,3,3,9,0,0.75,0.75,0.25,0.75,0,0,0.25,0
"154",154,109,4,1,10,0,0.75,0.75,0.5,0.75,0,0,0.25,0
"155",155,109,4,2,11,0,0.5,0.5,0.25,0.5,0,0,0.5,0.25
"156",156,109,4,3,12,0,0.75,0.75,0.5,0.5,0,0,0.25,0
"157",157,109,5,1,13,0,0,0,0.25,0.25,0,0,0.75,0.75
"158",158,109,5,2,14,0,0.5,0.5,0.5,0.5,0,0,0.5,0.25
"159",159,109,5,3,15,0,0.5,0.5,0.5,0.5,0,0,0.25,0.25
"160",160,109,6,1,16,0,0.5,0.5,0.5,0.5,0,0,0.25,0.25
"161",161,109,6,2,17,0,0.5,0.5,0.75,0.5,0,0,0.5,0.5
"162",162,109,6,3,18,0,0.75,0.75,0.25,0.5,0,0,0.25,0.25
"163",163,110,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,110,1,2,2,0,0,0,0.25,0,0,0,0.75,0.75
"165",165,110,1,3,3,0,0.5,0,0,0,0,0.25,0.5,0
"166",166,110,2,1,4,0,0,0.25,0,0,0,0,0.5,0.5
"167",167,110,2,2,5,0,0,0,0,0,0,0,0.25,0.25
"168",168,110,2,3,6,0,0,0.75,0,0,0.25,0,0.25,0
"169",169,110,3,1,7,0,0,0,0,0,0,0,0.25,0
"170",170,110,3,2,8,0,0,0,0,0,0,0,0.25,0
"171",171,110,3,3,9,0,0,0,0,0,0,0,0.5,0
"172",172,110,4,1,10,0,0,0,0,0,0,0,0.75,0.5
"173",173,110,4,2,11,0,0,0,0,0,0,0,0.75,0
"174",174,110,4,3,12,0,0,0,0,0,0,0,0.5,0
"175",175,110,5,1,13,0,0,0,0,0,0,0,0.75,0.5
"176",176,110,5,2,14,0,0,0,0,0,0,0,0.75,0.5
"177",177,110,5,3,15,0,0,0,0,0,0,0,0.5,0.25
"178",178,110,6,1,16,0,0,0,0,0,0,0,0.25,0.75
"179",179,110,6,2,17,0,0,0,0,0,0,0,0.5,0.5
"180",180,110,6,3,18,0,0,0,0,0,0,0,0.5,0.25
"181",181,111,1,1,1,0,0.25,0.25,0,0,0,0,0.75,0.25
"182",182,111,1,2,2,0,0.25,0.75,0,0,0,0,0.25,0.25
"183",183,111,1,3,3,0,0.5,0.5,0,0,0,0,0.5,0
"184",184,111,2,1,4,0,0.25,0.5,0.5,0.5,0,0,0.5,0.25
"185",185,111,2,2,5,0,0,0,0,0,0,0,0.75,0.75
"186",186,111,2,3,6,0,0,0,0,0,0,0,0.75,1
"187",187,111,3,1,7,0,0,0,0.5,0,0,0,0.5,0.5
"188",188,111,3,2,8,0,0,0,0.5,0,0,0,0.75,0.75
"189",189,111,3,3,9,0,0,0,0,0.25,0,0,0.75,0.75
"190",190,111,4,1,10,0,0,0,0,0.25,0,0,0.75,0.5
"191",191,111,4,2,11,0,0,0.25,0.25,0.25,0,0,0.5,0.5
"192",192,111,4,3,12,0,0,0,0,0,0,0,0.75,0.5
"193",193,111,5,1,13,0,0,0,0,0,0,0,0.5,0.5
"194",194,111,5,2,14,0,0,0,0,0,0,0,0.75,0.5
"195",195,111,5,3,15,0,0,0,0,0,0,0,0.75,0.5
"196",196,111,6,1,16,0,0,0,0.25,0.25,0,0,0.5,0.25
"197",197,111,6,2,17,0,0,0,0,0,0,0,0.75,0.25
"198",198,111,6,3,18,0,0,0,0,0.5,0.5,0,0.5,0.25
"199",199,112,1,1,1,0,0,0,0.25,0.25,0,0,0.5,0
"200",200,112,1,2,2,0,0,0,0,0,0,0,0.5,0
"201",201,112,1,3,3,0,0,0,0,0,0,0,1,0.5
"202",202,112,2,1,4,0,0,0,0,0.25,0,0,1,0.75
"203",203,112,2,2,5,0,0,0,0,0,0,0,1,0.25
"204",204,112,2,3,6,0,0,0,0,0,0,0,0.75,0.25
"205",205,112,3,1,7,0,0,0,0,0,0,0,0.5,0
"206",206,112,3,2,8,0,0,0,0,0,0,0,0.5,0.25
"207",207,112,3,3,9,0,0,0,0,0,0,0,0.75,0.25
"208",208,112,4,1,10,0,0,0,0,0,0,0,0.25,0
"209",209,112,4,2,11,0,0,0,0,0,0,0,0.25,0
"210",210,112,4,3,12,0,0,0,0,0,0,0,0.25,0
"211",211,112,5,1,13,0,0,0,0,0,0,0,0.75,0.25
"212",212,112,5,2,14,0,0,0,0,0,0,0,1,0.5
"213",213,112,5,3,15,0,0,0,0,0,0,0.25,0.5,0
"214",214,112,6,1,16,0,0,0,0,0.25,0,0,0.5,0.25
"215",215,112,6,2,17,0,0,0,0,0,0,0,0.75,0.5
"216",216,112,6,3,18,0,0,0,0,0.25,0,0,0.75,0.25
"217",217,113,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"218",218,113,1,2,2,0,0.5,0.5,1,0.75,0,0,0.5,0
"219",219,113,1,3,3,0,0.5,0.5,1,0.75,0,0,0.5,0
"220",220,113,2,1,4,0,0.25,0.75,0.5,0.25,0,0,0.25,0.25
"221",221,113,2,2,5,0,0.5,0.5,0.75,0.75,0,0,0.5,0.25
"222",222,113,2,3,6,0,1,1,0.75,1,0.25,0,0,0
"223",223,113,3,1,7,0,0.75,0.5,0.5,0.5,0,0,0.25,0
"224",224,113,3,2,8,0,0.5,0.5,0.75,0.5,0,0,0,0
"225",225,113,3,3,9,0,0.5,0.25,0.25,0.25,0,0,0,0
"226",226,113,4,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"227",227,113,4,2,11,0,0.25,0.25,0.75,0.5,0,0,0.25,0.25
"228",228,113,4,3,12,0,0.5,0.25,0.75,0.25,0,0,0.25,0
"229",229,113,5,1,13,0,0,0,1,1,0,0,0.25,0
"230",230,113,5,2,14,0,0,0,0.5,0.25,0,0,0.25,0
"231",231,113,5,3,15,0,0,0,0.75,0.25,0,0,0.25,0
"232",232,113,6,1,16,0,0,0,0.5,0.5,0,0,0.25,0
"233",233,113,6,2,17,0,0,0,0.5,0.25,0,0,0.25,0.25
"234",234,113,6,3,18,0,0,0.25,0.5,0,0,0,0.25,0
"235",235,114,1,1,1,0,0,0,0.25,0,0,0,1,1
"236",236,114,1,2,2,0,0,0,0,0,0,0,1,0.75
"237",237,114,1,3,3,0,0,0,0,0,0,0,0,0
"238",238,114,2,1,4,0,0,0,0,0,0,0,1,0.75
"239",239,114,2,2,5,0,0,0,0,0,0,0,1,0.75
"240",240,114,2,3,6,0,0,0,0,0,0,0,0.25,0.25
"241",241,114,3,1,7,0,0,0,0,0,0,0,0.5,0.5
"242",242,114,3,2,8,0,0,0,0,0,0,0,0.75,0.5
"243",243,114,3,3,9,0,0,0,0,0,0,0,1,1
"244",244,114,4,1,10,0,0,0,0,0,0,0,1,0.75
"245",245,114,4,2,11,0,0,0,0,0,0,0,0.75,0.75
"246",246,114,4,3,12,0,0,0,0.5,0.5,0,0.25,0.25,0
"247",247,114,5,1,13,0,0,0,0,0,0,0,0.75,0.75
"248",248,114,5,2,14,0,0,0,0,0,0,0,0.75,0.75
"249",249,114,5,3,15,0,0,0,0,0,0,0,0.75,0.75
"250",250,114,6,1,16,0,0,0,0,0,0,0,0.75,0.75
"251",251,114,6,2,17,0,0,0,0,0,0,0,0.5,0.5
"252",252,114,6,3,18,0,0,0,0,0,0,0,0.75,0.75
"253",253,115,1,1,1,0,0.25,0.5,0.5,0.5,0,0,0.5,0.25
"254",254,115,1,2,2,0,0,0,0,0.25,0,0,0.75,0.75
"255",255,115,1,3,3,0,0,0,0,0.25,0,0,0.75,0.5
"256",256,115,2,1,4,0,0,0,0,0,0,0,1,0.75
"257",257,115,2,2,5,0,0,0,0,0,0,0,0.75,0.5
"258",258,115,2,3,6,0,0,0,0,0.25,0,0,0.75,0.5
"259",259,115,3,1,7,0,0,0,0,0.5,0,0,0.5,0.5
"260",260,115,3,2,8,0,0,0,0,0,0,0,0.75,0.75
"261",261,115,3,3,9,0,0,0,0,0,0,0,0.75,0.75
"262",262,115,4,1,10,0,0,0,0,0,0,0,1,1
"263",263,115,4,2,11,0,0,0,0,0,0,0,0.75,0.75
"264",264,115,4,3,12,0,0,0,0,0,0,0,1,0.75
"265",265,115,5,1,13,0,0,0,0,0,0,0,1,0.75
"266",266,115,5,2,14,0,0,0,0,0,0,0,0.75,0.75
