"","X","ID","day","beep","obsNumber","missed","Angry","Anxiety","Guilty","Sad","Happy","Relaxed","Confident"
"1498",1498,22,2,5,12,0,0.12,0.3,0.04,0.59,0.62,0.51,0.56
"1499",1499,22,2,6,13,0,0.06,0.3,0.3,0,0.59,0.5,0.6
"1500",1500,22,2,7,14,0,0.1,0.53,0.07,0.13,0.51,0.42,0.58
"1501",1501,22,3,1,15,0,0,0.03,0.05,0.07,0.75,0.75,0.48
"1502",1502,22,3,2,16,0,0.05,0.37,0.08,0.1,0.71,0.66,0.61
"1503",1503,22,3,3,17,0,0.07,0.27,0.1,0.07,0.59,0.61,0.65
"1504",1504,22,3,4,18,0,0.05,0.37,0.11,0.01,0.69,0.6,0.66
"1505",1505,22,3,5,19,0,0.13,0.35,0.25,0.21,0.67,0.56,0.64
"1506",1506,22,3,6,20,0,0.09,0.37,0.14,0.22,0.8,0.56,0.73
"1507",1507,22,3,7,21,0,0.03,0.35,0.16,0.07,0.69,0.62,0.69
"1508",1508,22,3,8,22,0,0.03,0.26,0.08,0.12,0.72,0.64,0.64
"1509",1509,22,3,9,23,0,0.12,0.22,0.05,0.56,0.79,0.73,0.68
"1510",1510,22,3,10,24,1,NA,NA,NA,NA,NA,NA,NA
"1511",1511,22,4,1,25,0,0,0.25,0.02,0,0.67,0.65,0.68
"1512",1512,22,4,2,26,0,0.16,0.2,0.07,0.05,0.74,0.61,0.66
"1513",1513,22,4,3,27,0,0.16,0.33,0.23,0.12,0.68,0.59,0.64
"1514",1514,22,4,4,28,0,0.06,0.19,0.11,0.05,0.71,0.59,0.61
"1515",1515,22,4,5,29,0,0.11,0.19,0.12,0.1,0.69,0.7,0.67
"1516",1516,22,4,6,30,0,0.15,0.24,0.19,0.14,0.72,0.69,0.69
"1517",1517,22,4,7,31,0,0.19,0.26,0.17,0.07,0.74,0.64,0.63
"1518",1518,22,4,8,32,0,0.06,0.32,0.05,0.11,0.68,0.63,0.66
"1519",1519,22,4,9,33,0,0.07,0.25,0.05,0.06,0.85,0.71,0.73
"1520",1520,22,4,10,34,0,0,0.18,0.04,0,0.72,0.85,0.73
"1521",1521,22,4,11,35,0,0.14,0.15,0.09,0.08,0.76,0.78,0.69
"1522",1522,22,5,1,36,0,0.12,0.21,0.13,0.22,0.72,0.68,0.75
"1523",1523,22,5,2,37,0,0,0.19,0.05,0.17,0.73,0.64,0.59
"1524",1524,22,5,3,38,0,0.16,0.19,0.23,0.2,0.69,0.61,0.7
"1525",1525,22,5,4,39,0,0.1,0.23,0.13,0.11,0.74,0.62,0.64
"1526",1526,22,5,5,40,0,0.09,0.33,0.21,0.18,0.62,0.65,0.64
"1527",1527,22,5,6,41,0,0.09,0.16,0.13,0.13,0.63,0.73,0.65
"1528",1528,22,5,7,42,0,0.05,0.35,0.14,0.09,0.66,0.63,0.67
"1529",1529,22,5,8,43,0,0.16,0.31,0.18,0.19,0.74,0.66,0.7
"1530",1530,22,5,9,44,0,0.13,0.13,0.16,0.15,0.72,0.89,0.71
"1531",1531,22,5,10,45,0,0,0.08,0.13,0,0.78,0.93,0.67
"1532",1532,22,6,1,46,0,0,0.23,0.13,0,0.78,0.64,0.63
"1533",1533,22,6,2,47,0,0,0.03,0.17,0.15,0.7,0.82,0.65
"1534",1534,22,6,3,48,0,0.07,0.25,0.17,0.19,0.7,0.61,0.72
"1535",1535,22,6,4,49,0,0,0.28,0,0,0.77,0.72,0.65
"1536",1536,22,6,5,50,0,0,0.22,0,0.07,0.7,0.65,0.66
"1537",1537,22,6,6,51,0,0,0.31,0.23,0,0.75,0.67,0.69
"1538",1538,22,6,7,52,0,0.11,0.21,0.18,0.07,0.87,0.72,0.65
"1539",1539,22,6,8,53,0,0.26,0.32,0.11,0.07,0.69,0.61,0.67
"1540",1540,22,6,9,54,0,0.01,0.26,0.07,0.1,0.82,0.66,0.66
"1541",1541,22,6,10,55,0,0,0.31,0.01,0,0.71,0.71,0.63
"1542",1542,22,7,1,56,1,NA,NA,NA,NA,NA,NA,NA
"1543",1543,22,7,2,57,0,0,0.17,0.13,0,1,0.67,0.69
"1544",1544,22,7,3,58,0,0.04,0.3,0.02,0.17,0.9,0.68,0.71
"1545",1545,22,7,4,59,0,0.05,0.24,0.04,0.17,0.85,0.67,0.64
"1546",1546,22,7,5,60,0,0.05,0.26,0.08,0.01,0.9,0.65,0.66
"1547",1547,22,7,6,61,0,0.13,0.28,0.16,0.16,0.96,0.6,0.69
"1548",1548,22,7,7,62,0,0.12,0.17,0.01,0.09,0.73,0.89,0.67
"1549",1549,22,7,8,63,0,0,0.15,0.16,0,1,0.95,0.76
"1550",1550,22,7,9,64,0,0.06,0.28,0.19,0.08,0.98,1,0.83
"1551",1551,22,7,10,65,0,0.21,0.29,0.18,0.18,0.99,0.78,0.21
"1552",1552,22,8,1,66,0,0.07,0.21,0.05,0.11,0.74,0.81,0.64
"1553",1553,22,8,2,67,0,0.24,0.15,0.06,0.09,0.82,0.65,0.72
"1554",1554,22,8,3,68,0,0,0.18,0.03,0.07,0.74,0.68,0.65
"1555",1555,22,8,4,69,1,NA,NA,NA,NA,NA,NA,NA
"1556",1556,22,8,5,70,1,NA,NA,NA,NA,NA,NA,NA
"1557",1557,22,8,6,71,1,NA,NA,NA,NA,NA,NA,NA
"1558",1558,22,8,7,72,1,NA,NA,NA,NA,NA,NA,NA
"1559",1559,23,1,1,0,0,0,0.19,0.12,0.17,0.52,0.55,0.58
"1560",1560,23,1,2,1,0,0.04,0.19,0.1,0.13,0.65,0.76,0.68
"1561",1561,23,1,3,2,0,0.06,0.2,0.1,0.02,0.6,0.73,0.6
"1562",1562,23,1,4,3,0,0,0.09,0.07,0.03,0.77,0.79,0.69
"1563",1563,23,1,5,4,0,0,0.26,0,0.14,0.74,0.75,0.68
"1564",1564,23,1,6,5,0,0,0.21,0,0,0.62,0.67,0.61
"1565",1565,23,1,7,6,0,0,0.23,0.07,0.04,0.58,0.73,0.64
"1566",1566,23,1,8,7,0,0.01,0.33,0.07,0.04,0.65,0.67,0.68
"1567",1567,23,1,9,8,0,0,0.25,0,0.11,0.53,0.63,0.55
"1568",1568,23,2,1,9,0,0,0.11,0,0.04,0.73,0.85,0.53
"1569",1569,23,2,2,10,0,0,0.16,0.01,0.02,0.54,0.29,0.64
"1570",1570,23,2,3,11,0,0,0.15,0.05,0,0.57,0.41,0.57
"1571",1571,23,2,4,12,0,0,0.33,0.03,0.12,0.54,0.63,0.51
"1572",1572,23,2,5,13,0,0.25,0.32,0.12,0.2,0.56,0.62,0.57
"1573",1573,23,2,6,14,0,0.07,0.28,0.01,0.11,0.55,0.57,0.65
"1574",1574,23,2,7,15,0,0,0.2,0.13,0.17,0.58,0.54,0.54
"1575",1575,23,2,8,16,0,0.06,0.16,0.13,0.14,0.57,0.67,0.52
"1576",1576,23,2,9,17,0,0.16,0.1,0.09,0.13,0.5,0.56,0.56
"1577",1577,23,2,10,18,0,0.03,0.24,0.01,0.26,0.52,0.66,0.54
"1578",1578,23,3,1,19,1,NA,NA,NA,NA,NA,NA,NA
"1579",1579,23,3,2,20,0,0,0.36,0.03,0.03,0.39,0.21,0.58
"1580",1580,23,3,3,21,0,0.1,0.29,0.12,0.15,0.57,0.28,0.55
"1581",1581,23,3,4,22,0,0.25,0.39,0.13,0.22,0.56,0.23,0.53
"1582",1582,23,3,5,23,0,0.12,0.31,0.13,0.07,0.37,0.28,0.53
"1583",1583,23,3,6,24,0,0.13,0.25,0.02,0.24,0.65,0.66,0.59
"1584",1584,23,3,7,25,0,0.06,0.53,0.14,0.21,0.63,0.4,0.46
"1585",1585,23,3,8,26,0,0.06,0.3,0.08,0.17,0.64,0.45,0.49
"1586",1586,23,3,9,27,1,NA,NA,NA,NA,NA,NA,NA
"1587",1587,23,4,1,28,0,0.19,0.34,0.17,0.3,0.5,0.57,0.59
"1588",1588,23,4,2,29,0,0.16,0.5,0.39,0.32,0.54,0.29,0.52
"1589",1589,23,4,3,30,0,0.12,0.41,0.22,0.11,0.5,0.48,0.46
"1590",1590,23,4,4,31,0,0.44,0.36,0.28,0.29,0.5,0.26,0.5
"1591",1591,23,4,5,32,0,0.27,0.32,0.13,0.16,0.5,0.5,0.46
"1592",1592,23,4,6,33,1,NA,NA,NA,NA,NA,NA,NA
"1593",1593,23,4,7,34,0,0.06,0.54,0.22,0.33,0.5,0.55,0.5
"1594",1594,23,4,8,35,0,0.11,0.35,0.15,0.27,0.36,0.4,0.37
"1595",1595,23,4,9,36,0,0.25,0.33,0.03,0.27,0.28,0.58,0.4
"1596",1596,23,4,10,37,0,0.17,0.41,0.26,0.43,0.27,0.54,0.39
"1597",1597,23,4,11,38,1,NA,NA,NA,NA,NA,NA,NA
"1598",1598,23,5,1,39,0,0.37,0.45,0.36,0.32,0.44,0.48,0.5
"1599",1599,23,5,2,40,1,NA,NA,NA,NA,NA,NA,NA
"1600",1600,23,5,3,41,1,NA,NA,NA,NA,NA,NA,NA
"1601",1601,23,5,4,42,1,NA,NA,NA,NA,NA,NA,NA
"1602",1602,23,5,5,43,0,0.34,0.27,0.21,0.27,0.55,0.42,0.56
"1603",1603,23,5,6,44,0,0.03,0.31,0.39,0.15,0.71,0.62,0.57
"1604",1604,23,5,7,45,0,0.19,0.25,0.28,0.15,0.69,0.21,0.6
"1605",1605,23,5,8,46,0,0.17,0.18,0.2,0.08,0.73,0.76,0.63
"1606",1606,23,5,9,47,0,0.29,0.35,0.33,0.35,0.56,0.55,0.5
"1607",1607,23,5,10,48,1,NA,NA,NA,NA,NA,NA,NA
"1608",1608,23,6,1,49,1,NA,NA,NA,NA,NA,NA,NA
"1609",1609,23,6,2,50,0,0.17,0.53,0.2,0.17,0.46,0.36,0.53
"1610",1610,23,6,3,51,0,0.13,0.28,0.32,0.38,0.55,0.43,0.48
"1611",1611,23,6,4,52,0,0.29,0.32,0.15,0.36,0.5,0.32,0.4
"1612",1612,23,6,5,53,0,0.09,0.4,0.42,0.25,0.42,0.53,0.43
"1613",1613,23,6,6,54,0,0.1,0.35,0.22,0.1,0.58,0.65,0.58
"1614",1614,23,6,7,55,0,0.27,0.33,0.18,0.33,0.52,0.64,0.54
"1615",1615,23,6,8,56,0,0.16,0.17,0,0.14,0.8,0.76,0.78
"1616",1616,23,6,9,57,0,0.07,0.29,0.19,0.08,0.68,0.69,0.68
"1617",1617,23,6,10,58,0,0.14,0.3,0.16,0.31,0.68,0.98,0.66
"1618",1618,23,6,11,59,0,0.17,0.18,0.15,0.31,0.69,0.74,0.46
"1619",1619,23,7,1,60,0,0.18,0.26,0.12,0.1,0.68,0.87,0.56
"1620",1620,23,7,2,61,0,0.07,0.19,0.08,0.14,0.73,0.74,0.57
"1621",1621,23,7,3,62,0,0.25,0.28,0.03,0,0.7,0.66,0.58
"1622",1622,23,7,4,63,0,0.11,0.24,0.16,0.06,0.56,0.64,0.59
"1623",1623,23,7,5,64,1,NA,NA,NA,NA,NA,NA,NA
"1624",1624,23,7,6,65,0,0.36,0.21,0.11,0.14,0.62,0.67,0.59
"1625",1625,23,7,7,66,0,0.15,0.3,0.02,0.11,0.63,0.74,0.6
"1626",1626,23,7,8,67,0,0.12,0.15,0.16,0.15,0.64,0.8,0.55
"1627",1627,23,7,9,68,0,0.03,0.28,0.08,0.3,0.6,0.59,0.61
"1628",1628,23,7,10,69,0,0.33,0.22,0.14,0.23,0.57,0.54,0.61
"1629",1629,23,7,11,70,1,NA,NA,NA,NA,NA,NA,NA
"1630",1630,23,8,1,71,0,0.2,0.25,0.3,0.11,0.62,0.71,0.62
"1631",1631,24,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
"1632",1632,24,1,2,1,1,NA,NA,NA,NA,NA,NA,NA
"1633",1633,24,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
"1634",1634,24,1,4,3,0,0,0.16,0,0.24,0.78,0.35,0.45
"1635",1635,24,1,5,4,0,0.02,0.03,0,0.02,0.83,0.8,0.65
"1636",1636,24,2,1,5,0,0,0.31,0,0,0.36,0.17,0.45
"1637",1637,24,2,2,6,0,0,0.04,0,0,0.31,0.51,0.5
"1638",1638,24,2,3,7,0,0,0.72,0,0,0.47,0,0.51
"1639",1639,24,2,4,8,0,0,0,0,0,0.49,0.08,0.07
"1640",1640,24,2,5,9,0,0,0.01,0.01,0,1,1,0.5
"1641",1641,24,2,6,10,0,0.01,0,0.02,0,1,0.93,0.72
"1642",1642,24,2,7,11,0,0,0,0,0,0.97,1,1
"1643",1643,24,2,8,12,0,0,0.05,0,0,1,1,0.83
"1644",1644,24,3,1,13,0,0,0,0,0,0.97,0.86,0.51
"1645",1645,24,3,2,14,0,0,0.21,0.06,0,0.73,0.12,0.87
"1646",1646,24,3,3,15,0,0,0.01,0.01,0,1,0.82,1
"1647",1647,24,3,4,16,0,0,0.02,0,0.04,0.63,0.48,0.77
"1648",1648,24,3,5,17,0,0,0,0,0,0.51,0.79,0.5
"1649",1649,24,3,6,18,0,0,0,0,0,0.66,0.74,0.22
"1650",1650,24,3,7,19,1,NA,NA,NA,NA,NA,NA,NA
"1651",1651,24,3,8,20,0,0,0.01,0,0,1,1,1
"1652",1652,24,3,9,21,0,0,0,0,0,0.88,0.46,0.53
"1653",1653,24,3,10,22,0,0,0,0,0,1,0.96,0.17
"1654",1654,24,4,1,23,0,0.02,0.49,0,0,0.96,0.88,0
"1655",1655,24,4,2,24,1,NA,NA,NA,NA,NA,NA,NA
"1656",1656,24,4,3,25,0,0,0.3,0.16,0,0.92,0.05,0.5
"1657",1657,24,4,4,26,0,0,0.02,0.01,0,0.99,0.96,0.5
"1658",1658,24,4,5,27,0,0,0.21,0,0,0.5,0.5,0.48
"1659",1659,24,4,6,28,0,0,0,0,0,0.49,0.52,0
"1660",1660,24,4,7,29,0,0,0.15,0,0,0.58,0.51,0.5
"1661",1661,24,4,8,30,0,0.02,0,0,0,0.49,1,0.5
"1662",1662,24,4,9,31,0,0,0.21,0,0,0.52,0.5,1
"1663",1663,24,4,10,32,0,0,0.07,0.12,0.01,0.71,0.5,0.51
"1664",1664,24,4,11,33,0,0.01,0.11,0.01,0,1,0.99,1
"1665",1665,24,5,1,34,0,0.12,0.13,0.1,0.11,0.1,0.14,0.48
"1666",1666,24,5,2,35,0,0.06,0.07,0,0.18,0.35,0.8,0.14
"1667",1667,24,5,3,36,0,0.16,0.6,0.47,0,0.51,0.12,0.51
"1668",1668,24,5,4,37,0,0,0.31,0.24,0,0.49,0.26,0.5
"1669",1669,24,5,5,38,0,0,0,0,0.14,0.52,0.52,0.47
"1670",1670,24,5,6,39,0,0,0.43,0.34,0.05,1,0.29,0.48
"1671",1671,24,5,7,40,0,0,0.29,0.77,0,0.89,0.23,0.22
"1672",1672,24,5,8,41,0,0.52,0.51,0.08,0,0.11,0,0
"1673",1673,24,5,9,42,0,0,0.81,0.5,0.54,0,0,0.16
"1674",1674,24,5,10,43,0,1,0,0,0,1,1,0.16
"1675",1675,24,6,1,44,0,0,0.51,0.5,0.02,0,0.06,0.16
"1676",1676,24,6,2,45,0,0.51,0.79,0.26,0.92,0.01,0.03,0.53
"1677",1677,24,6,3,46,0,0,0.39,0.25,0.98,0,0.01,0.49
"1678",1678,24,6,4,47,0,0,0.25,0.5,0,0.14,0,0
"1679",1679,24,6,5,48,0,0,0.5,0,0.49,0,0,0.01
"1680",1680,24,6,6,49,0,0,0,0,0,0.16,0.25,0.24
"1681",1681,24,6,7,50,0,0,0,0,0.07,1,1,1
"1682",1682,24,6,8,51,0,0,0,0,0,0.97,1,1
"1683",1683,24,6,9,52,1,NA,NA,NA,NA,NA,NA,NA
"1684",1684,24,6,10,53,0,0.03,0.02,0.03,0,1,1,1
"1685",1685,24,7,1,54,0,0,0,0,0,0.76,0,0
"1686",1686,24,7,2,55,0,0,0.5,0,0,0.51,0.07,0.03
"1687",1687,24,7,3,56,1,NA,NA,NA,NA,NA,NA,NA
"1688",1688,24,7,4,57,1,NA,NA,NA,NA,NA,NA,NA
"1689",1689,24,7,5,58,1,NA,NA,NA,NA,NA,NA,NA
"1690",1690,24,7,6,59,1,NA,NA,NA,NA,NA,NA,NA
"1691",1691,24,7,7,60,1,NA,NA,NA,NA,NA,NA,NA
"1692",1692,24,7,8,61,1,NA,NA,NA,NA,NA,NA,NA
"1693",1693,24,7,9,62,1,NA,NA,NA,NA,NA,NA,NA
"1694",1694,24,7,10,63,0,0,0,0,0,1,0.52,0.03
"1695",1695,24,8,1,65,0,0.02,0.31,0.04,0,0.73,0.22,0.35
"1696",1696,24,8,2,66,1,NA,NA,NA,NA,NA,NA,NA
"1697",1697,24,8,3,67,0,0,0.26,0.26,0.02,0.47,0.31,0.07
"1698",1698,24,8,4,68,0,1,0,0,1,0,0,0.5
"1699",1699,24,8,5,69,0,0.2,0.09,0.12,0.02,0.53,0.16,0.51
"1700",1700,24,8,6,70,0,0.26,0.51,0.02,0.1,0.77,0.65,0.51
"1701",1701,24,8,7,71,0,0.05,0.14,0.15,0,1,1,0.51
"1702",1702,24,8,8,72,0,0,0,0,0,1,1,0.49
"1703",1703,24,8,9,73,0,0.01,0.11,0,0,1,0.98,0.51
"1704",1704,24,9,1,74,0,0,0.34,0.01,0,0.51,0.78,0.48
"1705",1705,24,9,2,75,0,0,0.51,0,0,0.51,0,0.51
"1706",1706,24,9,3,76,0,0,0,0,0,0.87,0.49,0.49
"1707",1707,25,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
"1708",1708,25,1,2,1,0,0.18,0.35,0.29,0.3,0.8,0.61,0.71
"1709",1709,25,1,3,2,0,0.46,0.6,0.59,0.56,0.34,0.35,0.39
"1710",1710,25,1,4,3,0,0.31,0.29,0.24,0.23,0.6,0.29,0.35
"1711",1711,25,1,5,4,1,NA,NA,NA,NA,NA,NA,NA
"1712",1712,25,1,6,5,0,0.28,0.27,0.31,0.21,0.65,0.68,0.66
"1713",1713,25,1,7,6,0,0.29,0.29,0.63,0.22,0.66,0.69,0.65
"1714",1714,25,1,8,7,0,0.25,0.17,0.36,0.27,0.79,0.74,0.63
"1715",1715,25,2,1,8,0,0.15,0.32,0.63,0.22,0.72,0.66,0.63
"1716",1716,25,2,2,9,0,0.14,0.27,0.22,0.25,0.65,0.7,0.6
"1717",1717,25,2,3,10,0,0.28,0.57,0.32,0.31,0.69,0.51,0.36
"1718",1718,25,2,4,11,0,0.17,0.31,0.29,0.28,0.53,0.42,0.41
"1719",1719,25,2,5,12,0,0.2,0.35,0.64,0.19,0.66,0.63,0.61
"1720",1720,25,2,6,13,0,0.25,0.3,0.32,0.26,0.65,0.6,0.58
"1721",1721,25,2,7,14,0,0.17,0.63,0.28,0.32,0.64,0.37,0.67
"1722",1722,25,2,8,15,0,0.23,0.21,0.34,0.24,0.75,0.74,0.63
"1723",1723,25,2,9,16,0,0.23,0.26,0.23,0.21,0.67,0.66,0.66
"1724",1724,25,2,10,17,0,0.23,0.36,0.28,0.24,0.73,0.62,0.57
"1725",1725,25,2,11,18,1,NA,NA,NA,NA,NA,NA,NA
"1726",1726,25,3,1,19,0,0.28,0.62,0.59,0.4,0.63,0.36,0.38
"1727",1727,25,3,2,20,0,0.29,0.49,0.59,0.34,0.38,0.35,0.34
"1728",1728,25,3,3,21,0,0.17,0.6,0.58,0.21,0.65,0.6,0.44
"1729",1729,25,3,4,22,0,0.29,0.62,0.58,0.27,0.68,0.54,0.42
"1730",1730,25,3,5,23,0,0.22,0.62,0.65,0.29,0.33,0.27,0.27
"1731",1731,25,3,6,24,0,0.27,0.35,0.38,0.26,0.59,0.27,0.29
"1732",1732,25,3,7,25,0,0.63,0.61,0.64,0.61,0.34,0.34,0.37
"1733",1733,25,3,8,26,0,0.38,0.61,0.6,0.53,0.24,0.21,0.26
"1734",1734,25,3,9,27,0,0.36,0.64,0.61,0.63,0.62,0.33,0.3
"1735",1735,25,3,10,28,0,0.6,0.59,0.58,0.37,0.3,0.3,0.29
"1736",1736,25,4,1,29,0,0.3,0.61,0.61,0.33,0.34,0.35,0.35
"1737",1737,25,4,2,30,0,0.32,0.33,0.35,0.36,0.43,0.38,0.59
"1738",1738,25,4,3,31,0,0.36,0.32,0.31,0.34,0.65,0.55,0.59
"1739",1739,25,4,4,32,0,0.31,0.3,0.37,0.31,0.57,0.61,0.38
"1740",1740,25,4,5,33,0,0.65,0.6,0.34,0.66,0.38,0.66,0.4
"1741",1741,25,4,6,34,0,0.33,0.35,0.67,0.28,0.39,0.66,0.65
"1742",1742,25,4,7,35,0,0.32,0.24,0.28,0.33,0.67,0.61,0.33
"1743",1743,25,4,8,36,0,0.28,0.35,0.3,0.27,0.67,0.32,0.67
"1744",1744,25,4,9,37,0,0.37,0.3,0.24,0.29,0.64,0.61,0.61
"1745",1745,25,4,10,38,0,0.24,0.19,0.19,0.38,0.7,0.64,0.61
"1746",1746,25,4,11,39,1,NA,NA,NA,NA,NA,NA,NA
"1747",1747,25,5,1,40,0,0.24,0.29,0.31,0.28,0.71,0.31,0.29
"1748",1748,25,5,2,41,0,0.26,0.3,0.33,0.3,0.62,0.32,0.43
"1749",1749,25,5,3,42,0,0.23,0.37,0.34,0.25,0.62,0.62,0.37
"1750",1750,25,5,4,43,0,0.35,0.59,0.34,0.42,0.37,0.4,0.34
"1751",1751,25,5,5,44,0,0.26,0.3,0.59,0.7,0.25,0.25,0.27
"1752",1752,25,5,6,45,0,0.36,0.63,0.31,0.66,0.27,0.35,0.35
"1753",1753,25,5,7,46,0,0.28,0.36,0.27,0.35,0.61,0.58,0.58
"1754",1754,25,5,8,47,0,0.21,0.6,0.73,0,1,1,0.71
"1755",1755,25,5,9,48,0,0.29,0.31,0.4,0.33,0.63,0.63,0.41
"1756",1756,25,5,10,49,0,0.27,0.29,0.3,0.32,0.72,0.64,0.7
"1757",1757,25,5,11,50,0,0.22,0.29,0.2,0.27,0.6,0.73,0.59
"1758",1758,25,6,1,51,0,0.34,0.31,0.29,0.55,0.51,0.59,0.65
"1759",1759,25,6,2,52,0,0.29,0.29,0.28,0.3,0.66,0.67,0.61
"1760",1760,25,6,3,53,0,0.25,0.36,0.28,0.26,0.68,0.67,0.68
"1761",1761,25,6,4,54,0,0.22,0.31,0.27,0.34,0.63,0.54,0.56
"1762",1762,25,6,5,55,0,0.33,0.37,0.35,0.24,0.56,0.67,0.42
"1763",1763,25,6,6,56,0,0.27,0.32,0.34,0.26,0.77,0.65,0.63
"1764",1764,25,6,7,57,0,0.23,0.28,0.23,0.21,0.7,0.69,0.79
"1765",1765,25,6,8,58,0,0.26,0.32,0.36,0.26,0.63,0.66,0.34
"1766",1766,25,6,9,59,0,0.24,0.32,0.31,0.3,0.65,0.62,0.53
"1767",1767,25,6,10,60,0,0.72,0.29,0.24,0.36,0.68,0.64,0.5
"1768",1768,25,7,1,61,0,0.24,0.6,0.71,0.62,0.41,0.25,0.38
"1769",1769,25,7,2,62,0,0.37,0.58,0.57,0.57,0.29,0.38,0.43
"1770",1770,25,7,3,63,0,0.35,0.35,0.32,0.32,0.61,0.54,0.54
"1771",1771,25,7,4,64,0,0.3,0.23,0.29,0.3,0.32,0.66,0.37
"1772",1772,25,7,5,65,0,0.29,0.37,0.26,0.25,0.69,0.61,0.61
"1773",1773,25,7,6,66,0,0.2,0.31,0.25,0.55,0.53,0.53,0.46
"1774",1774,25,7,7,67,0,0.25,0.36,0.34,0.25,0.72,0.64,0.57
"1775",1775,25,7,8,68,0,0.74,0.32,0.22,0.27,0.64,0.45,0.55
"1776",1776,25,7,9,69,0,0.24,0.3,0.61,0.27,0.69,0.6,0.63
"1777",1777,25,7,10,70,0,0.24,0.24,0.3,0.21,0.65,0.67,0.63
"1778",1778,25,8,1,71,0,0.24,0.54,0.29,0.21,0.67,0.63,0.63
"1779",1779,26,1,1,0,0,0,0,0,0,1,1,1
"1780",1780,26,1,2,1,0,0.01,0,0,0,1,1,1
"1781",1781,26,1,3,2,0,0,0,0,0,1,0.71,1
"1782",1782,26,1,4,3,0,0,0,0.12,0,1,0.94,0.99
"1783",1783,26,1,5,4,0,0,0,0,0,0.94,1,0.91
"1784",1784,26,1,6,5,0,0,0,0,0,1,0.97,0.94
"1785",1785,26,1,7,6,0,0,0,0,0,1,1,1
"1786",1786,26,2,1,7,0,0,0.01,0,0,1,1,1
"1787",1787,26,2,2,8,0,0,0,0,0,1,1,0.83
"1788",1788,26,2,3,9,0,0,0,1,0,0.99,1,1
"1789",1789,26,2,4,10,0,0,0,0,0,1,1,1
"1790",1790,26,2,5,11,0,0,0,0,0,1,1,1
"1791",1791,26,2,6,12,0,0,0,0,0,1,1,1
"1792",1792,26,2,7,13,0,0,0,0,0,1,1,1
"1793",1793,26,2,8,14,0,0,0,0,0,1,1,1
"1794",1794,26,2,9,15,0,0,0,0,0,0.96,1,0.98
"1795",1795,26,2,10,16,0,0,0,0,0,1,0.84,1
"1796",1796,26,2,11,17,0,0.05,0,0,0,0.86,0.9,0.78
"1797",1797,26,3,1,18,0,0,0,0,0,0.83,0.99,1
"1798",1798,26,3,2,19,1,NA,NA,NA,NA,NA,NA,NA
"1799",1799,26,3,3,20,1,NA,NA,NA,NA,NA,NA,NA
"1800",1800,26,3,4,21,1,NA,NA,NA,NA,NA,NA,NA
"1801",1801,26,3,5,22,1,NA,NA,NA,NA,NA,NA,NA
"1802",1802,26,3,6,23,1,NA,NA,NA,NA,NA,NA,NA
"1803",1803,26,3,7,24,0,0,0,0,0,1,1,0.92
"1804",1804,26,3,8,25,0,0,0,0,0,1,1,0.81
"1805",1805,26,3,9,26,0,0,0,0,0,1,1,0.97
"1806",1806,26,3,10,27,0,0,0,0,0,1,1,0.99
"1807",1807,26,4,1,29,0,0.17,0,0,0,0.76,1,0.83
"1808",1808,26,4,2,30,0,0,0,0,0,1,1,1
"1809",1809,26,4,3,31,0,0,0,0,0,1,1,1
"1810",1810,26,4,4,32,0,0,0,0,0,1,1,1
"1811",1811,26,4,5,33,0,0,0,0,0,1,0.99,0.88
"1812",1812,26,4,6,34,0,0,0,0,0,1,1,1
"1813",1813,26,4,7,35,0,0,0,0,0,1,1,1
"1814",1814,26,4,8,36,0,0,0,0,0,1,1,1
"1815",1815,26,4,9,37,0,0,0,0,0,1,1,1
"1816",1816,26,4,10,38,0,0.16,0,0,0,1,1,1
"1817",1817,26,5,1,39,1,NA,NA,NA,NA,NA,NA,NA
"1818",1818,26,5,2,40,0,0.12,0,0,0,0.79,1,1
"1819",1819,26,5,3,41,0,0,0,0,0,1,1,1
"1820",1820,26,5,4,42,0,0,0,0,0,0.85,1,0.86
"1821",1821,26,5,5,43,0,0,0.02,0,0,1,1,1
"1822",1822,26,5,6,44,0,0,0,0,0,0.98,1,0.96
"1823",1823,26,5,7,45,1,NA,NA,NA,NA,NA,NA,NA
"1824",1824,26,5,8,46,1,NA,NA,NA,NA,NA,NA,NA
"1825",1825,26,5,9,47,0,0,0,0,0,1,1,0.99
"1826",1826,26,5,10,48,0,0,0.01,0,0,1,0.87,1
"1827",1827,26,6,1,49,0,0,0,0,0,1,1,1
"1828",1828,26,6,2,50,0,0,0,0,0,0.98,1,1
"1829",1829,26,6,3,51,0,0,0,0,0,1,1,1
"1830",1830,26,6,4,52,0,0,0,0,0,1,1,1
"1831",1831,26,6,5,53,0,0,0,0,0,1,1,1
"1832",1832,26,6,6,54,0,0,0,0,0,1,1,0.99
"1833",1833,26,6,7,55,1,NA,NA,NA,NA,NA,NA,NA
"1834",1834,26,6,8,56,0,0,0,0,0,1,1,1
"1835",1835,26,6,9,57,0,0,0,0,0,1,1,1
"1836",1836,26,6,10,58,0,0,0,0,0,1,1,1
"1837",1837,26,6,11,59,0,0,0,0,0,1,0.98,1
"1838",1838,26,7,1,60,1,NA,NA,NA,NA,NA,NA,NA
