"","X","ID","day","beep","obsNumber","missed","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"616",25.591,25,5,1,33,0,0.166666666666667,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333
"617",25.59,25,5,2,34,0,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,1
"618",25.589,25,5,3,35,0,0.5,0.5,0.5,0.666666666666667,0.5,0.666666666666667
"619",25.588,25,5,4,36,0,0.5,0.833333333333333,0.833333333333333,0.5,1,1
"620",25.587,25,5,5,37,0,1,0.833333333333333,1,1,0.333333333333333,1
"621",25.586,25,5,6,38,0,1,1,0.666666666666667,1,0.5,1
"622",25.585,25,5,7,39,0,1,0.833333333333333,0.833333333333333,1,0.833333333333333,0.833333333333333
"623",25.584,25,5,8,40,1,NA,NA,NA,NA,NA,NA
"624",26.661,26,1,1,1,1,NA,NA,NA,NA,NA,NA
"625",26.66,26,1,2,2,0,0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.5
"626",26.659,26,1,3,3,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"627",26.658,26,1,4,4,1,NA,NA,NA,NA,NA,NA
"628",26.657,26,1,5,5,1,NA,NA,NA,NA,NA,NA
"629",26.656,26,1,6,6,0,0.833333333333333,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"630",26.655,26,1,7,7,0,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.5
"631",26.654,26,2,1,8,0,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.833333333333333,0.666666666666667
"632",26.653,26,2,2,9,1,NA,NA,NA,NA,NA,NA
"633",26.652,26,2,3,10,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"634",26.651,26,2,4,11,1,NA,NA,NA,NA,NA,NA
"635",26.65,26,2,5,12,1,NA,NA,NA,NA,NA,NA
"636",26.649,26,2,6,13,0,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333
"637",26.648,26,2,7,14,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"638",26.647,26,2,8,15,0,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667
"639",26.646,26,3,1,16,0,0.666666666666667,0.833333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"640",26.645,26,3,2,17,0,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5
"641",26.644,26,3,3,18,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5
"642",26.643,26,3,4,19,1,NA,NA,NA,NA,NA,NA
"643",26.642,26,3,5,20,0,0.833333333333333,1,0.666666666666667,0.833333333333333,1,0.833333333333333
"644",26.641,26,3,6,21,1,NA,NA,NA,NA,NA,NA
"645",26.64,26,3,7,22,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"646",26.639,26,3,8,23,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.5
"647",26.638,26,4,1,24,1,NA,NA,NA,NA,NA,NA
"648",26.637,26,4,2,25,0,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5
"649",26.636,26,4,3,26,0,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5
"650",26.635,26,4,4,27,0,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"651",26.634,26,4,5,28,0,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5
"652",26.633,26,4,6,29,1,NA,NA,NA,NA,NA,NA
"653",26.632,26,4,7,30,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5
"654",26.631,26,4,8,31,0,0.5,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.5
"655",26.63,26,5,1,32,1,NA,NA,NA,NA,NA,NA
"656",26.629,26,5,2,33,1,NA,NA,NA,NA,NA,NA
"657",26.628,26,5,3,34,1,NA,NA,NA,NA,NA,NA
"658",26.627,26,5,4,35,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5
"659",26.626,26,5,5,36,1,NA,NA,NA,NA,NA,NA
"660",26.625,26,5,6,37,0,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"661",26.624,26,5,7,38,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"662",31.69,31,1,1,1,1,NA,NA,NA,NA,NA,NA
"663",31.689,31,1,2,2,0,0.833333333333333,0.666666666666667,0.833333333333333,0.333333333333333,0.333333333333333,0.5
"664",31.688,31,1,3,3,1,NA,NA,NA,NA,NA,NA
"665",31.687,31,1,4,4,0,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5
"666",31.686,31,1,5,5,0,0.166666666666667,0.833333333333333,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"667",31.685,31,1,6,6,0,0.833333333333333,0.666666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.666666666666667
"668",31.684,31,1,7,7,0,1,0.833333333333333,1,1,0.333333333333333,0.833333333333333
"669",31.683,31,1,8,8,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"670",31.682,31,2,1,9,1,NA,NA,NA,NA,NA,NA
"671",31.681,31,2,2,10,1,NA,NA,NA,NA,NA,NA
"672",31.68,31,2,3,11,0,0.833333333333333,0.833333333333333,0.166666666666667,0.833333333333333,0.666666666666667,0.833333333333333
"673",31.679,31,2,4,12,0,1,0.833333333333333,1,1,0.833333333333333,0.833333333333333
"674",31.678,31,2,5,13,0,1,1,1,1,0.833333333333333,1
"675",31.677,31,2,6,14,0,1,0.666666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333
"676",31.676,31,2,7,15,0,1,0.666666666666667,0.833333333333333,0.833333333333333,0.333333333333333,0.833333333333333
"677",31.675,31,2,8,16,1,NA,NA,NA,NA,NA,NA
"678",31.674,31,5,1,17,0,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.5
"679",31.673,31,5,2,18,0,1,0.833333333333333,1,1,1,0.833333333333333
"680",31.672,31,5,3,19,0,1,0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0.5
"681",31.671,31,5,4,20,1,NA,NA,NA,NA,NA,NA
"682",31.67,31,5,5,21,0,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5
"683",31.669,31,6,1,22,1,NA,NA,NA,NA,NA,NA
"684",31.668,31,7,1,23,1,NA,NA,NA,NA,NA,NA
"685",31.667,31,7,2,24,0,0.666666666666667,0.833333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.5
"686",31.666,31,7,3,25,1,NA,NA,NA,NA,NA,NA
"687",31.665,31,7,4,26,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5
"688",31.664,31,7,5,27,1,NA,NA,NA,NA,NA,NA
"689",31.663,31,7,6,28,0,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.666666666666667,0.666666666666667
"690",31.662,31,7,7,29,0,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.333333333333333,0.666666666666667
"691",32.728,32,1,1,1,1,NA,NA,NA,NA,NA,NA
"692",32.727,32,1,2,2,1,NA,NA,NA,NA,NA,NA
"693",32.726,32,1,3,3,1,NA,NA,NA,NA,NA,NA
"694",32.725,32,1,4,4,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5
"695",32.724,32,1,5,5,1,NA,NA,NA,NA,NA,NA
"696",32.723,32,1,6,6,0,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0.666666666666667
"697",32.722,32,1,7,7,0,0.833333333333333,0.833333333333333,0.166666666666667,0.833333333333333,1,0.5
"698",32.721,32,2,1,8,0,0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,0.666666666666667
"699",32.72,32,2,2,9,0,0.5,0.833333333333333,0.166666666666667,0.5,0.833333333333333,0.666666666666667
"700",32.719,32,2,3,10,0,0.833333333333333,0.833333333333333,0.333333333333333,0.5,0.833333333333333,0.666666666666667
"701",32.718,32,2,4,11,0,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"702",32.717,32,2,5,12,0,0.5,1,1,1,1,1
"703",32.716,32,2,6,13,1,NA,NA,NA,NA,NA,NA
"704",32.715,32,2,7,14,0,0.5,1,0.666666666666667,0.5,0.833333333333333,0.833333333333333
"705",32.714,32,2,8,15,0,0.5,1,0,0.166666666666667,1,0.666666666666667
"706",32.713,32,3,1,16,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667
"707",32.712,32,3,2,17,1,NA,NA,NA,NA,NA,NA
"708",32.711,32,3,3,18,1,NA,NA,NA,NA,NA,NA
"709",32.71,32,3,4,19,0,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333
"710",32.709,32,3,5,20,1,NA,NA,NA,NA,NA,NA
"711",32.708,32,3,6,21,1,NA,NA,NA,NA,NA,NA
"712",32.707,32,3,7,22,0,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333
"713",32.706,32,3,8,23,0,0.833333333333333,0.833333333333333,0.5,0.666666666666667,0.833333333333333,0.833333333333333
"714",32.705,32,6,1,24,0,1,1,1,1,1,1
"715",32.704,32,6,2,25,1,NA,NA,NA,NA,NA,NA
"716",32.703,32,6,3,26,1,NA,NA,NA,NA,NA,NA
"717",32.702,32,6,4,27,0,1,1,1,1,1,1
"718",32.701,32,6,5,28,1,NA,NA,NA,NA,NA,NA
"719",32.7,32,6,6,29,1,NA,NA,NA,NA,NA,NA
"720",32.699,32,6,7,30,1,NA,NA,NA,NA,NA,NA
"721",32.698,32,7,1,31,0,1,1,0.833333333333333,0.833333333333333,1,0.833333333333333
"722",32.697,32,7,2,32,0,1,1,0.833333333333333,1,1,0.833333333333333
"723",32.696,32,7,3,33,1,NA,NA,NA,NA,NA,NA
"724",32.695,32,7,4,34,0,1,1,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667
"725",32.694,32,7,5,35,0,1,1,1,1,1,1
"726",32.693,32,7,6,36,0,1,1,1,1,1,1
"727",32.692,32,7,7,37,0,1,0.333333333333333,1,1,0.166666666666667,0.666666666666667
"728",32.691,32,7,8,38,0,1,1,0.666666666666667,1,0.166666666666667,0.666666666666667
"729",33.764,33,1,1,1,0,0.666666666666667,1,1,1,1,0.666666666666667
"730",33.763,33,1,2,2,1,NA,NA,NA,NA,NA,NA
"731",33.762,33,1,3,3,0,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,1
"732",33.761,33,1,4,4,0,0.666666666666667,0.5,1,1,0.666666666666667,1
"733",33.76,33,1,5,5,0,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"734",33.759,33,1,6,6,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.5
"735",33.758,33,1,7,7,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.333333333333333
"736",33.757,33,1,8,8,1,NA,NA,NA,NA,NA,NA
"737",33.756,33,2,1,9,0,0.5,0.833333333333333,0,0.5,0.333333333333333,0.333333333333333
"738",33.755,33,2,2,10,0,0.166666666666667,0.833333333333333,0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"739",33.754,33,2,3,11,0,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5
"740",33.753,33,2,4,12,0,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"741",33.752,33,2,5,13,1,NA,NA,NA,NA,NA,NA
"742",33.751,33,2,6,14,0,0.333333333333333,0.5,0.5,0.833333333333333,0.333333333333333,0.833333333333333
"743",33.75,33,2,7,15,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"744",33.749,33,2,8,16,0,0.166666666666667,0.666666666666667,0.833333333333333,0.5,0.166666666666667,0.666666666666667
"745",33.748,33,3,1,17,0,1,0.5,1,1,0.666666666666667,0.833333333333333
"746",33.747,33,3,2,18,0,0.5,1,0.166666666666667,1,0.333333333333333,0.333333333333333
"747",33.746,33,3,3,19,0,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.333333333333333
"748",33.745,33,3,4,20,0,0.833333333333333,0.5,0,1,1,1
"749",33.744,33,3,5,21,0,0.333333333333333,1,0.333333333333333,0.5,0.333333333333333,0.666666666666667
"750",33.743,33,3,6,22,0,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.5
"751",33.742,33,6,1,23,1,NA,NA,NA,NA,NA,NA
"752",33.741,33,6,2,24,1,NA,NA,NA,NA,NA,NA
"753",33.74,33,6,3,25,0,0,0,0.833333333333333,1,0,0.333333333333333
"754",33.739,33,6,4,26,0,0.333333333333333,0.166666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667
"755",33.738,33,6,5,27,0,1,1,1,1,0.833333333333333,0.833333333333333
"756",33.737,33,6,6,28,0,0.833333333333333,0.333333333333333,0.5,0.833333333333333,0.333333333333333,0.166666666666667
