"","X","ID","day","beep","observationID","missing","Enthusiastic","Relaxed","Satisfied","Irritable","Energetic","Calm","Cheerful","Irritated","Bored","Nervous","Sad","Angry","Gloomy","Insecure","Anxious","Happy","Worried","Stressed"
"2968",2968,1080,2,8,18,0,0.76,0.8,0.82,0.1,0.68,0.72,0.83,0.03,0.27,0.09,0.02,0.01,0.06,0.02,0.02,0.81,0.27,0.03
"2969",2969,1080,3,1,19,0,0.57,0.82,0.81,0.08,0.63,0.81,0.8,0.1,0.46,0.08,0.03,0.02,0,0,0,0.82,0.12,0.05
"2970",2970,1080,3,2,20,0,0.83,0.82,0.88,0.03,0.77,0.78,0.87,0,0.19,0,0,0.02,0.02,0.08,0.01,0.78,0.04,0.18
"2971",2971,1080,3,3,21,0,0.73,0.85,0.85,0.1,0.68,0.81,0.86,0.08,0.26,0.08,0.01,0.07,0.1,0.06,0.04,0.73,0.16,0.01
"2972",2972,1080,3,4,22,0,0.79,0.7,0.76,0.12,0.35,0.64,0.78,0.03,0.07,0.03,0.04,0.02,0.12,0.1,0.09,0.77,0.17,0.12
"2973",2973,1080,3,5,23,0,0.8,0.83,0.85,0.19,0.78,0.81,0.8,0.05,0.03,0.11,0.07,0.09,0.1,0.08,0.05,0.73,0.19,0.11
"2974",2974,1080,3,6,24,0,0.76,0.79,0.78,0.33,0.72,0.74,0.77,0.27,0.14,0.15,0,0.02,0,0,0.01,0.78,0.66,0.11
"2975",2975,1080,3,7,25,0,0.62,0.81,0.81,0.05,0.62,0.78,0.8,0,0.01,0.02,0.01,0.05,0.04,0.01,0.01,0.81,0.03,0.06
"2976",2976,1080,3,8,26,0,0.67,0.79,0.8,0.07,0.48,0.73,0.75,0,0.59,0.04,0.03,0.09,0.08,0.01,0.04,0.74,0.1,0.13
"2977",2977,1080,3,9,27,0,0.54,0.7,0.71,0.39,0.55,0.65,0.67,0.29,0.43,0,0.02,0.05,0.05,0.03,0.02,0.64,0.09,0.01
"2978",2978,1080,3,10,28,0,0.55,0.76,0.84,0.15,0.44,0.81,0.73,0.01,0.01,0.01,0.06,0.02,0.03,0,0,0.67,0.06,0.01
"2979",2979,1080,4,1,29,0,0.54,0.64,0.63,0.14,0.46,0.67,0.64,0.03,0.41,0.03,0.03,0,0.06,0.02,0.01,0.59,0.03,0.01
"2980",2980,1080,4,2,30,0,0.61,0.8,0.75,0.1,0.45,0.71,0.74,0,0.05,0,0.04,0.03,0,0.02,0,0.72,0.72,0.05
"2981",2981,1080,4,3,31,0,0.76,0.74,0.8,0.03,0.8,0.81,0.81,0.07,0.01,0,0.02,0.02,0,0.03,0.01,0.73,0.01,0.06
"2982",2982,1080,4,4,32,0,0.73,0.76,0.76,0.08,0.72,0.05,0.81,0,0.06,0.08,0.02,0.01,0.01,0.05,0,0.76,0.01,0.02
"2983",2983,1080,4,5,33,0,0.8,0.88,0.76,0.06,0.47,0.67,0.68,0,0,0,0.05,0.01,0.02,0.06,0.03,0.78,0.07,0.05
"2984",2984,1080,4,6,34,0,0.61,0.73,0.8,0.1,0.43,0.72,0.75,0.06,0.36,0.1,0.04,0.02,0.04,0.03,0.04,0.7,0,0.04
"2985",2985,1080,4,7,35,0,0.76,0.78,0.75,0.14,0.65,0.77,0.81,0.09,0.21,0.12,0.11,0.03,0.07,0.1,0.06,0.73,0.09,0.02
"2986",2986,1080,4,8,36,0,0.55,0.76,0.8,0,0.66,0.8,0.82,0,0,0.01,0.03,0.05,0.01,0.03,0.07,0.65,0.1,0.03
"2987",2987,1080,4,9,37,0,0.71,0.94,0.89,0.03,0.34,0.93,0.92,0.12,0.13,0.04,0.11,0.08,0,0,0.05,0.64,0.06,0.03
"2988",2988,1080,5,1,38,0,0.72,0.85,0.71,0.04,0.57,0.8,0.65,0.05,0.02,0.1,0.07,0.02,0.08,0.04,0.05,0.72,0.01,0.01
"2989",2989,1080,5,2,39,0,0.71,0.8,0.8,0.02,0.46,0.64,0.73,0.14,0.06,0.06,0.02,0.02,0.01,0.02,0.05,0.72,0.08,0.06
"2990",2990,1080,5,3,40,0,0.82,0.81,0.77,0.03,0.64,0.47,0.78,0.04,0.03,0,0.01,0.01,0.04,0.02,0.01,0.74,0.03,0.08
"2991",2991,1080,5,4,41,0,0.81,0.85,0.74,0.13,0.77,0.76,0.77,0.14,0.05,0,0.12,0.1,0.04,0.1,0.08,0.66,0.05,0.1
"2992",2992,1080,5,5,42,0,0.79,0.79,0.69,0.02,0.63,0.74,0.78,0.08,0.04,0.04,0.05,0,0.07,0.09,0.1,0.65,0.04,0.04
"2993",2993,1080,5,6,43,0,0.73,0.71,0.76,0.03,0.82,0.64,0.7,0.06,0.09,0.03,0.02,0.03,0.04,0.03,0.06,0.67,0.02,0.04
"2994",2994,1080,5,7,44,0,0.74,0.83,0.78,0.12,0.73,0.8,0.82,0.06,0.09,0.09,0.11,0.03,0.04,0,0.04,0.73,0,0.07
"2995",2995,1080,5,8,45,0,0.44,0.8,0.73,0.01,0.55,0.88,0.76,0,0.4,0.01,0.01,0.03,0,0,0.01,0.7,0.04,0.02
"2996",2996,1080,5,9,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2997",2997,1080,5,10,47,0,0.57,0.8,0.79,0.01,0.44,0.73,0.71,0,0.02,0.04,0.05,0.01,0.01,0.02,0.01,0.72,0.03,0.03
"2998",2998,1080,5,11,48,0,0.8,0.92,0.89,0,0.73,0.8,0.81,0.03,0.06,0.06,0.05,0.03,0.01,0.07,0.05,0.72,0,0.02
"2999",2999,1081,1,1,1,0,0.49,0.24,0.64,0.32,0.19,0.7,0.46,0.16,0.29,0.04,0.25,0.03,0.14,0.21,0.11,0.54,0.73,0.72
"3000",3000,1081,1,2,2,0,0.48,0.75,0.74,0.1,0.21,0.81,0.65,0.13,0.12,0.15,0.22,0.12,0.19,0.2,0.12,0.58,0.73,0.55
"3001",3001,1081,1,3,3,0,0.59,0.88,0.82,0.09,0.15,0.83,0.68,0.13,0.23,0.02,0.29,0.12,0.2,0.06,0.1,0.72,0.79,0.7
"3002",3002,1081,1,4,4,0,0.61,0.71,0.72,0.06,0.44,0.82,0.57,0.1,0.37,0.7,0.1,0.04,0.1,0.73,0.22,0.33,0.72,0.34
"3003",3003,1081,1,5,5,0,0.33,0.62,0.29,0.11,0.35,0.67,0.49,0.11,0.48,0.12,0.13,0.11,0.06,0.22,0.1,0.7,0.65,0.59
"3004",3004,1081,1,6,6,0,0.55,0.54,0.68,0.16,0.43,0.8,0.61,0.12,0.1,0.03,0.06,0.05,0.07,0.1,0.1,0.45,0.67,0.54
"3005",3005,1081,1,7,7,0,0.65,0.67,0.83,0.09,0.54,0.83,0.58,0.08,0.19,0.58,0.07,0.12,0.1,0.4,0.1,0.52,0.63,0.28
"3006",3006,1081,1,8,8,0,0.37,0.47,0.77,0.01,0.39,0.81,0.63,0.06,0.43,0.58,0.08,0.05,0.06,0.49,0.21,0.62,0.78,0.7
"3007",3007,1081,1,9,9,0,0.81,0.77,0.48,0.11,0.67,0.87,0.78,0.1,0.13,0.52,0.11,0.06,0.09,0.11,0.14,0.68,0.48,0.66
"3008",3008,1081,1,10,10,0,0.4,0.79,0.64,0.1,0.48,0.75,0.64,0.16,0.13,0.58,0.21,0.02,0,0.53,0.12,0.44,0.11,0.36
"3009",3009,1081,2,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3010",3010,1081,2,2,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3011",3011,1081,2,3,13,0,0.34,0.37,0.36,0.27,0.34,0.3,0.35,0.26,0.06,0.78,0.23,0.03,0.57,0.6,0.15,0.2,0.77,0.71
"3012",3012,1081,2,4,14,0,0.28,0.27,0.57,0.12,0.33,0.36,0.3,0.06,0.15,0.66,0.1,0.06,0.54,0.38,0.05,0.4,0.68,0.64
"3013",3013,1081,2,5,15,0,0.23,0.49,0.44,0.06,0.41,0.32,0.46,0.09,0.2,0.74,0.21,0.07,0.36,0.69,0.35,0.46,0.81,0.76
"3014",3014,1081,2,6,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3015",3015,1081,2,7,17,0,0.02,0.11,0.12,0.75,0.12,0.19,0.11,0.6,0.32,0.62,0.12,0.09,0.14,0.63,0.32,0.19,0.7,0.79
"3016",3016,1081,2,8,18,0,0.12,0.08,0.17,0.54,0.12,0.61,0.13,0.63,0.63,0.28,0.61,0.03,0.72,0.54,0.11,0.12,0.66,0.7
"3017",3017,1082,1,1,1,0,0.2,0.3,0.09,0,0,0.3,0,0.1,0.2,0.19,0.01,0.01,0.01,0.8,0.29,0.5,0.17,0.14
"3018",3018,1082,1,2,2,0,0.2,0.2,0.31,0,0.01,0.4,0.09,0,0.29,0.11,0.08,0.07,0.05,0.73,0.66,0.15,0.74,0.52
"3019",3019,1082,1,3,3,0,0.21,0.36,0.15,0.17,0.15,0.18,0.28,0.14,0.51,0.66,0.25,0.1,0.29,0.88,0.34,0.46,0.72,0.74
"3020",3020,1082,1,4,4,0,0.39,0.44,0.39,0.07,0.09,0.05,0.07,0.06,0.07,0.59,0.06,0.08,0.07,0.8,0.67,0.57,0.82,0.58
"3021",3021,1082,1,5,5,0,0.31,0.35,0.34,0.1,0.26,0.14,0.28,0.14,0.57,0.65,0.16,0.12,0.11,0.79,0.59,0.53,0.76,0.77
"3022",3022,1082,1,6,6,0,0.33,0.34,0.38,0.16,0.3,0.22,0.1,0.11,0.12,0.68,0.07,0.05,0.13,0.53,0.52,0.44,0.62,0.48
"3023",3023,1082,1,7,7,0,0.21,0.08,0.12,0.13,0.16,0.11,0.08,0.09,0.39,0.55,0.07,0.08,0.07,0.72,0.69,0.1,0.74,0.54
"3024",3024,1082,1,8,8,0,0.36,0.36,0.35,0.06,0.12,0.36,0.05,0.16,0.15,0.66,0.11,0.11,0.06,0.78,0.58,0.1,0.52,0.66
"3025",3025,1082,1,9,9,0,0.15,0.14,0.15,0.1,0.07,0.26,0.09,0.08,0.34,0.54,0.07,0.1,0.11,0.63,0.57,0.06,0.56,0.62
"3026",3026,1082,1,10,10,0,0.06,0.12,0.08,0.08,0.05,0.07,0.1,0.53,0.07,0.66,0.07,0.05,0.06,0.51,0.06,0.42,0.47,0.51
"3027",3027,1082,1,11,11,0,0.15,0.18,0.23,0.17,0.18,0.11,0.08,0.23,0.21,0.66,0.19,0.13,0.13,0.53,0.51,0.1,0.54,0.6
"3028",3028,1082,2,1,12,0,0.58,0.56,0.48,0.05,0.04,0.38,0.42,0.04,0.03,0.62,0.03,0.06,0.05,0.7,0.04,0.58,0.62,0.65
"3029",3029,1082,2,2,13,0,0.36,0.4,0.37,0.07,0.08,0.43,0.53,0.1,0.09,0.57,0.13,0.15,0.17,0.67,0.09,0.18,0.7,0.63
"3030",3030,1082,2,3,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031",3031,1082,2,4,15,0,0.34,0.31,0.33,0.09,0,0.21,0.4,0.07,0.17,0.53,0.07,0.06,0.06,0.71,0.52,0.53,0.57,0.69
"3032",3032,1082,2,5,16,0,0.44,0.44,0.32,0.04,0.13,0.12,0.11,0.15,0.77,0.54,0.11,0.09,0.18,0.64,0.1,0.18,0.69,0.71
"3033",3033,1082,2,6,17,0,0.31,0.32,0.33,0.09,0.36,0.32,0.44,0.32,0.13,0.73,0.2,0.14,0.47,0.81,0.09,0.42,0.74,0.71
"3034",3034,1082,2,7,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3035",3035,1082,2,8,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3036",3036,1082,3,1,20,0,0.19,0.31,0.2,0.51,0.26,0.31,0.16,0.06,0.54,0.06,0.05,0.12,0.44,0.48,0.71,0.51,0.53,0.53
"3037",3037,1082,3,2,21,0,0.34,0.51,0.3,0.07,0.24,0.37,0.45,0.18,0.44,0.57,0.43,0.16,0.06,0.57,0.48,0.56,0.47,0.51
"3038",3038,1082,3,3,22,0,0.47,0.04,0.33,0.04,0.41,0.15,0.49,0.13,0.16,0.54,0.08,0.07,0.05,0.58,0.54,0.46,0.59,0.5
"3039",3039,1082,3,4,23,1,0.35,0.34,0.35,0.04,0.04,0.43,0.53,0,0.34,0.67,0.07,0.36,0.1,0.65,0.35,0.53,0.7,0.66
"3040",3040,1082,3,5,24,0,0.33,0.13,0.11,0.1,0.1,0.45,0.09,0.98,0.6,0.36,0.19,0.46,0.16,0.49,0.48,0.12,0.54,0.6
"3041",3041,1082,3,6,25,0,0.57,0.63,0.54,0.06,0.34,0.56,0.37,0.05,0.05,0.51,0.35,0.1,0.09,0.28,0.24,0.55,0.59,0.43
"3042",3042,1082,3,7,26,0,0.47,0.65,0.51,0,0.44,0.44,0.39,0.03,0.06,0.44,0.06,0.06,0.06,0.57,0.29,0.6,0.52,0.51
"3043",3043,1082,3,8,27,0,0.34,0.34,0.33,0.3,0.05,0.05,0.23,0.34,0.49,0.79,0.29,0.23,0.28,1,0.59,0.28,0.75,0.79
"3044",3044,1082,3,9,28,0,0.43,0.49,0.47,0.19,0.22,0.36,0.45,0.07,0.06,0.16,0.06,0.07,0.11,0.54,0.57,0.07,0.1,0.74
"3045",3045,1082,3,10,29,0,0.44,0.48,0.49,0.2,0.48,0.34,0.34,0.23,0.25,0.28,0.3,0.1,0.28,0.62,0.56,0.1,0.18,0.47
"3046",3046,1082,3,11,30,0,0.38,0.36,0.41,0.36,0.34,0.36,0.36,0.35,0.35,0.34,0.31,0.33,0.37,0.35,0.33,0.45,0.38,0.36
"3047",3047,1082,3,12,31,0,0.04,0.02,0.03,0.08,0.14,0.08,0.06,1,0.06,0.63,0.25,0.06,0.05,0.63,0.02,0.07,0.06,0.65
"3048",3048,1082,4,1,32,0,0.76,0.44,0.55,0.03,0.42,0.51,0.42,0.05,0.06,0.03,0.07,0.04,0.08,0.43,0.37,0.05,0.63,0.77
"3049",3049,1082,4,2,33,0,0.17,0.19,0.14,0.16,0.16,0.19,0.21,0.19,0.2,0.24,0.25,0.1,0.12,0.25,0.21,0.28,0.38,0.33
"3050",3050,1082,4,3,34,0,0.26,0.2,0.27,0.08,0.16,0.17,0.23,0.18,0.22,0.2,0.21,0.25,0.27,0.4,0.34,0.31,0.32,0.31
"3051",3051,1082,4,4,35,0,0.4,0.36,0.38,0.28,0.36,0.43,0.36,0.05,0.3,0.29,0.29,0.29,0.35,0.38,0.3,0.53,0.53,0.57
"3052",3052,1082,4,5,36,0,0.39,0.38,0.35,0.36,0.36,0.4,0.44,0.35,0.36,0.33,0.34,0.34,0.36,0.33,0.36,0.36,0.34,0.34
"3053",3053,1082,4,6,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3054",3054,1082,4,7,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3055",3055,1082,4,8,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3056",3056,1082,4,9,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3057",3057,1082,4,10,41,0,0.12,0.31,0.2,0.32,0.32,0.33,0.36,0.36,0.31,0.33,0.26,0.26,0.3,0.31,0.36,0.32,0.33,0.32
"3058",3058,1082,4,11,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3059",3059,1082,4,12,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3060",3060,1082,5,1,44,0,0.09,0.08,0.1,0.05,0.09,0.14,0.1,0.5,0.11,0.08,0.08,0.07,0.1,0.08,0.09,0.11,0.12,0.13
"3061",3061,1082,5,2,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
