"","X","ID","day","beep","observationID","missing","Nervous","Downhearted","Distressed","Happy","Relaxed","Content"
"27",27,1,5,3,26,2,1,1,0.833333333333333,0,0,0.166666666666667
"28",28,1,5,4,27,2,0.333333333333333,1,0.666666666666667,0.5,0.333333333333333,0.166666666666667
"29",29,1,5,5,28,2,0.166666666666667,0.5,0.5,0.666666666666667,0.5,0.666666666666667
"30",30,1,5,6,29,2,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"31",31,1,6,1,30,2,0.5,0,0.166666666666667,0.5,0.5,0.833333333333333
"32",32,1,6,2,31,2,0.666666666666667,0,0,0.5,0.5,0.666666666666667
"33",33,1,6,3,32,2,0.5,0.333333333333333,0,0.666666666666667,0.666666666666667,0.666666666666667
"34",34,1,6,4,33,2,0.833333333333333,0,0.166666666666667,0.5,0.166666666666667,0.833333333333333
"35",35,1,6,5,34,2,0.166666666666667,0,0.166666666666667,0.833333333333333,0.666666666666667,0.833333333333333
"36",36,1,6,6,35,1,NA,NA,NA,NA,NA,NA
"37",37,1,7,1,36,2,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.666666666666667
"38",38,1,7,2,37,2,0.5,0.333333333333333,0.666666666666667,0.5,0.5,0.666666666666667
"39",39,1,7,3,38,2,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667
"40",40,1,7,4,39,0,NA,NA,NA,NA,NA,NA
"41",41,1,7,5,40,2,0.5,0.166666666666667,0,0.666666666666667,0.333333333333333,1
"42",42,1,7,6,41,2,0,0,0.166666666666667,0.666666666666667,0.5,0.833333333333333
"43",43,1,8,1,42,2,0,0,0,0.833333333333333,1,0.833333333333333
"44",44,1,8,2,43,2,0,0,0,0.833333333333333,0.666666666666667,1
"45",45,1,8,3,44,2,0,0,0,0.833333333333333,0.666666666666667,0.833333333333333
"46",46,1,8,4,45,2,0.333333333333333,0,0,0.666666666666667,0.833333333333333,1
"47",47,1,8,5,46,2,0,0,0,0.833333333333333,0.5,1
"48",48,1,8,6,47,2,0.166666666666667,0,0,0.833333333333333,0.833333333333333,1
"49",49,1,9,1,48,2,0,0,0,0.833333333333333,0.666666666666667,1
"50",50,1,9,2,49,2,0,0,0,0.5,0.666666666666667,0.833333333333333
"51",51,1,9,3,50,2,0,0,0,0.666666666666667,0.5,0.833333333333333
"52",52,1,9,4,51,2,0.166666666666667,0,0,0.5,0.5,0.833333333333333
"53",53,1,9,5,52,2,0.166666666666667,0,0,0.666666666666667,0.166666666666667,0.5
"54",54,1,9,6,53,2,0,0,0,0.833333333333333,0.5,1
"55",55,1,10,1,54,2,0,0,0,0.666666666666667,0.833333333333333,0.833333333333333
"56",56,1,10,2,55,2,0,0,0,0.833333333333333,0.666666666666667,1
"57",57,1,10,3,56,2,0.166666666666667,0,0,0.833333333333333,0.666666666666667,1
"58",58,1,10,4,57,2,0,0,0,0.5,0.5,0.666666666666667
"59",59,1,10,5,58,2,0,0,0,0.5,0.166666666666667,0.833333333333333
"60",60,1,10,6,59,2,0.333333333333333,0,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"61",61,2,1,1,0,2,0,0.166666666666667,0.166666666666667,0.5,0.666666666666667,0.666666666666667
"62",62,2,1,2,1,2,0,0.166666666666667,0,0.333333333333333,0.666666666666667,0.5
"63",63,2,1,3,2,2,0,0.5,0.166666666666667,0.166666666666667,0.5,0.5
"64",64,2,1,4,3,2,0,0.166666666666667,0,0.166666666666667,0.5,0.5
"65",65,2,1,5,4,2,0,0.5,0.333333333333333,0,0.5,0
"66",66,2,1,6,5,2,0,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.5
"67",67,2,2,1,6,2,0,0,0,0.666666666666667,0.833333333333333,0.5
"68",68,2,2,2,7,0,NA,NA,NA,NA,NA,NA
"69",69,2,2,3,8,0,NA,NA,NA,NA,NA,NA
"70",70,2,2,4,9,0,NA,NA,NA,NA,NA,NA
"71",71,2,2,5,10,0,NA,NA,NA,NA,NA,NA
"72",72,2,3,1,11,0,NA,NA,NA,NA,NA,NA
"73",73,2,3,2,12,2,0,0,0,0.666666666666667,0.833333333333333,0.666666666666667
"74",74,2,3,3,13,2,0,0,0,0.5,0.666666666666667,0.5
"75",75,2,3,4,14,2,0,0,0,0.5,0.833333333333333,0.666666666666667
"76",76,2,3,5,15,2,0,0,0,0.666666666666667,0.833333333333333,0.666666666666667
"77",77,2,3,6,16,2,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667
"78",78,2,3,7,17,2,0,0.333333333333333,0.166666666666667,0.5,0.833333333333333,0.5
"79",79,2,4,1,18,2,0,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667
"80",80,2,4,2,19,2,0,0.166666666666667,0.166666666666667,0.5,0.833333333333333,0.666666666666667
"81",81,2,4,3,20,2,0,0,0,0.833333333333333,1,0.666666666666667
"82",82,2,4,4,21,0,NA,NA,NA,NA,NA,NA
"83",83,2,4,5,22,2,0,0,0.333333333333333,0.5,1,0.666666666666667
"84",84,2,4,6,23,2,0,0.666666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333
"85",85,2,5,1,24,0,NA,NA,NA,NA,NA,NA
"86",86,2,5,2,25,2,0,0,0,0.333333333333333,0.666666666666667,0.5
"87",87,2,5,3,26,2,0,0.166666666666667,0,0.5,0.666666666666667,0.5
"88",88,2,5,4,27,2,0,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0.5
"89",89,2,5,5,28,2,0,0.166666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.666666666666667
"90",90,2,5,6,29,2,0,0,0,0.5,0,0.5
"91",91,2,6,1,30,2,0,0.166666666666667,0.166666666666667,0,0.833333333333333,0.5
"92",92,2,6,2,31,2,0.166666666666667,0,0.166666666666667,0,0,0
"93",93,2,6,3,32,2,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333
"94",94,2,6,4,33,2,0,0.333333333333333,0,0.5,0.666666666666667,0.333333333333333
"95",95,2,6,5,34,0,NA,NA,NA,NA,NA,NA
"96",96,2,6,6,35,2,0,0.5,0,0.333333333333333,0.833333333333333,0.5
"97",97,2,7,1,36,2,0,0.166666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0
"98",98,2,7,2,37,2,0,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.333333333333333
"99",99,2,7,3,38,1,NA,NA,NA,NA,NA,NA
"100",100,2,7,4,39,2,0,0,0,0,0.5,0.166666666666667
"101",101,2,7,5,40,2,0,0,0.5,0.166666666666667,0.333333333333333,0
"102",102,2,7,6,41,2,0,0,0,0,0.5,0
"103",103,2,8,1,42,2,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667
"104",104,2,8,2,43,2,0,0.5,0.166666666666667,0.166666666666667,0.5,0.166666666666667
"105",105,2,8,3,44,2,0,0,0,0.5,0.666666666666667,0.666666666666667
"106",106,2,8,4,45,2,0,0,0,0.5,0.5,0.5
"107",107,2,8,5,46,2,0,0,0,0,0,0.333333333333333
"108",108,2,8,6,47,2,0,0,0,0.666666666666667,1,1
"109",109,2,9,1,48,0,NA,NA,NA,NA,NA,NA
"110",110,2,9,2,49,2,0,0,0,0.5,0.833333333333333,0.5
"111",111,2,9,3,50,2,0,0,0,0.5,0.833333333333333,0.5
"112",112,2,9,4,51,2,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333
"113",113,2,9,5,52,2,0.833333333333333,0,0,0.5,0.166666666666667,0
"114",114,2,9,6,53,2,0,0,0,0.5,0.666666666666667,0.833333333333333
"115",115,2,10,1,54,2,0,0.166666666666667,0,0.5,0.5,0.833333333333333
"116",116,2,10,2,55,2,0,0,0,0.5,0.666666666666667,0.5
"117",117,2,10,3,56,2,0,0.333333333333333,0.166666666666667,0.5,0.833333333333333,0.833333333333333
"118",118,2,10,4,57,2,0,0,0,0.5,1,0.5
"119",119,2,10,5,58,2,0,0,0,0.5,0.833333333333333,0.5
"120",120,2,10,6,59,2,0,0.166666666666667,0,0.333333333333333,0.833333333333333,0.5
"121",121,3,1,1,0,2,0.5,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.833333333333333
"122",122,3,1,2,1,2,0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.833333333333333
"123",123,3,1,3,2,2,0.166666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.5,0.833333333333333
"124",124,3,1,4,3,2,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.833333333333333
"125",125,3,1,5,4,2,0.5,0.666666666666667,0.166666666666667,0.833333333333333,0.666666666666667,0.666666666666667
"126",126,3,1,6,5,2,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.666666666666667
"127",127,3,2,1,6,2,0.166666666666667,0,0,0.666666666666667,0.833333333333333,1
"128",128,3,2,2,7,2,0.166666666666667,0.166666666666667,0,0.666666666666667,0.333333333333333,0.833333333333333
"129",129,3,2,3,8,2,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.666666666666667
"130",130,3,2,4,9,2,0.5,0.5,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"131",131,3,2,5,10,2,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.5,0.5
"132",132,3,2,6,11,2,0.666666666666667,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.5
"133",133,3,3,1,12,2,0.5,0.833333333333333,0.833333333333333,0.333333333333333,0.166666666666667,0.833333333333333
"134",134,3,3,2,13,2,0.666666666666667,0.5,0.5,0.333333333333333,0.5,0.333333333333333
"135",135,3,3,3,14,2,0.5,0.333333333333333,0.5,0.166666666666667,0.5,0.333333333333333
"136",136,3,3,4,15,2,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.5
"137",137,3,3,5,16,2,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333
"138",138,3,3,6,17,2,0.666666666666667,0.333333333333333,0.833333333333333,0.166666666666667,0.333333333333333,0.666666666666667
"139",139,3,4,1,18,2,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667
"140",140,3,4,2,19,2,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
"141",141,3,4,3,20,2,0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667
"142",142,3,4,4,21,2,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.666666666666667
"143",143,3,4,5,22,2,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.833333333333333
"144",144,3,4,6,23,2,0.333333333333333,0.5,0.333333333333333,1,0.666666666666667,0.833333333333333
"145",145,3,5,1,24,2,0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.833333333333333
"146",146,3,5,2,25,2,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"147",147,3,5,3,26,2,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.833333333333333
"148",148,3,5,4,27,2,0.5,0.333333333333333,0.5,0.5,0.5,0.333333333333333
"149",149,3,5,5,28,2,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667
"150",150,3,5,6,29,2,0.333333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"151",151,3,6,1,30,2,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"152",152,3,6,2,31,2,0.666666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"153",153,3,6,3,32,2,0.5,0.5,0.166666666666667,0.5,0.666666666666667,0.666666666666667
"154",154,3,6,4,33,2,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"155",155,3,6,5,34,2,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5
"156",156,3,6,6,35,2,0.666666666666667,0.5,0.333333333333333,0.833333333333333,0.5,0.666666666666667
"157",157,3,7,1,36,2,0.333333333333333,0.5,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"158",158,3,7,2,37,2,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"159",159,3,7,3,38,2,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.666666666666667
"160",160,3,7,4,39,2,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.666666666666667
"161",161,3,7,5,40,2,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.666666666666667
"162",162,3,7,6,41,2,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.833333333333333
"163",163,3,8,1,42,2,0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"164",164,3,8,2,43,2,0.166666666666667,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.666666666666667
"165",165,3,8,3,44,2,0.166666666666667,0.166666666666667,0,0.666666666666667,0.5,0.833333333333333
"166",166,3,8,4,45,2,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0.666666666666667
"167",167,3,8,5,46,2,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.666666666666667
"168",168,3,8,6,47,2,0.166666666666667,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"169",169,3,9,1,48,2,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.333333333333333,0.666666666666667
"170",170,3,9,2,49,2,0.5,0.166666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667
"171",171,3,9,3,50,2,0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.333333333333333
"172",172,3,9,4,51,2,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667
"173",173,3,9,5,52,2,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333
"174",174,3,9,6,53,0,NA,NA,NA,NA,NA,NA
"175",175,4,1,1,0,2,0.333333333333333,0,0.166666666666667,0.5,0.5,0.666666666666667
"176",176,4,1,2,1,2,0.166666666666667,0,0,0.5,0.666666666666667,0.5
"177",177,4,1,3,2,2,0,0,0,0.833333333333333,0.666666666666667,0.666666666666667
"178",178,4,1,4,3,2,0.166666666666667,0,0,0.833333333333333,0.666666666666667,0.666666666666667
"179",179,4,1,5,4,2,0.833333333333333,0,0,0.666666666666667,0.166666666666667,0.333333333333333
"180",180,4,1,6,5,0,NA,NA,NA,NA,NA,NA
"181",181,4,2,1,6,2,0.166666666666667,0,0,0.666666666666667,0.666666666666667,0.5
"182",182,4,2,2,7,2,0.166666666666667,0,0,0.5,0.5,0.5
"183",183,4,2,3,8,2,0,0,0,0.666666666666667,0.5,0.5
"184",184,4,2,4,9,2,0,0,0,0.666666666666667,0.5,0.5
"185",185,4,2,5,10,2,0,0,0,0.666666666666667,0.5,0.5
"186",186,4,2,6,11,2,0,0,0,0.666666666666667,0.5,0.5
"187",187,4,3,1,12,2,0,0,0.166666666666667,0.5,0.666666666666667,0.5
"188",188,4,3,2,13,2,0,0,0,0.833333333333333,0.5,0.666666666666667
"189",189,4,3,3,14,2,0.166666666666667,0,0,0.833333333333333,0.5,0.5
"190",190,4,3,4,15,2,0.166666666666667,0,0,0.833333333333333,0,0.666666666666667
"191",191,4,3,5,16,2,0,0,0,0.833333333333333,0.666666666666667,0.833333333333333
"192",192,4,3,6,17,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"193",193,4,4,1,18,2,0,0,0,0.666666666666667,0.666666666666667,0.5
"194",194,4,4,2,19,2,0.166666666666667,0,0,0.666666666666667,0.5,0.5
"195",195,4,4,3,20,2,0,0,0,0.833333333333333,0.5,0.5
"196",196,4,4,4,21,0,NA,NA,NA,NA,NA,NA
"197",197,4,4,5,22,2,0,0,0,0.666666666666667,0.5,0.5
"198",198,4,4,6,23,2,0,0.333333333333333,0.166666666666667,0.5,0.5,0.5
"199",199,4,5,1,24,2,0,0,0,0.5,0.5,0.5
"200",200,4,5,2,25,2,0,0,0,0.666666666666667,0.5,0.666666666666667
"201",201,4,5,3,26,2,0,0,0,0.666666666666667,0.5,0.5
"202",202,4,5,4,27,2,0,0,0,0.666666666666667,0.5,0.5
"203",203,4,5,5,28,2,0.166666666666667,0,0,0.5,0.5,0.666666666666667
"204",204,4,5,6,29,2,0,0,0,0.5,0.5,0.5
"205",205,4,6,1,30,2,0,0,0,0.666666666666667,0.5,0.5
"206",206,4,6,2,31,2,0,0,0,0.666666666666667,0.5,0.5
"207",207,4,6,3,32,2,0.333333333333333,0,0,0.5,0.5,0.333333333333333
"208",208,4,6,4,33,2,0,0,0,0.666666666666667,0.5,0.5
"209",209,4,6,5,34,2,0,0,0,0.5,0.5,0.5
"210",210,4,6,6,35,2,0,0,0,0.5,0.333333333333333,0.5
"211",211,4,7,1,36,2,0,0,0,0.5,0.5,0.5
"212",212,4,7,2,37,2,0,0,0,0.666666666666667,0.5,0.5
"213",213,4,7,3,38,2,0,0,0,0.5,0.5,0.5
"214",214,4,7,4,39,2,0,0,0,0.5,0.5,0.5
"215",215,4,7,5,40,2,0.166666666666667,0,0,0.666666666666667,0.5,0.5
"216",216,4,7,6,41,2,0,0,0,0.5,0.5,0.5
"217",217,4,8,1,42,2,0.166666666666667,0,0,0.5,0.5,0.5
"218",218,4,8,2,43,2,0.166666666666667,0,0,0.5,0.5,0.666666666666667
"219",219,4,8,3,44,2,0.166666666666667,0,0,0.5,0.5,0.666666666666667
"220",220,4,8,4,45,2,0,0,0,0.5,0.5,0.5
"221",221,4,8,5,46,2,0.166666666666667,0,0,0.5,0.5,0.5
"222",222,4,8,6,47,2,0,0,0,0.5,0.5,0.5
"223",223,4,9,1,48,2,0.166666666666667,0,0,0.5,0.5,0.5
"224",224,4,9,2,49,2,0.166666666666667,0,0,0.5,0.5,0.5
"225",225,4,9,3,50,2,0,0,0,0.5,0.666666666666667,0.666666666666667
"226",226,4,9,4,51,2,0,0,0,0.5,0.666666666666667,0.666666666666667
"227",227,4,9,5,52,2,0.166666666666667,0,0,0.5,0.5,0.5
"228",228,4,9,6,53,2,0,0,0,0.5,0.5,0.666666666666667
"229",229,5,1,1,0,2,0,0.166666666666667,0,0.5,0.833333333333333,0.666666666666667
"230",230,5,1,2,1,2,0.166666666666667,0,0,0.666666666666667,0.5,0.666666666666667
"231",231,5,1,3,2,2,0,0,0.166666666666667,1,0.5,0.833333333333333
"232",232,5,1,4,3,2,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.5
"233",233,5,1,5,4,2,0,0,0,1,0.833333333333333,1
"234",234,5,1,6,5,2,0,0,0,0.833333333333333,0.666666666666667,0.833333333333333
"235",235,5,2,1,6,2,0.333333333333333,0,0,0.333333333333333,0.166666666666667,0.5
"236",236,5,2,2,7,2,0,0,0.333333333333333,0.333333333333333,0.166666666666667,0.5
"237",237,5,2,3,8,2,0,0.5,0,0.5,0.666666666666667,0.5
"238",238,5,2,4,9,2,0,0,0,0.5,0.5,0.5
"239",239,5,2,5,10,2,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333
"240",240,5,2,6,11,2,0,0,0,0.333333333333333,0.666666666666667,0.833333333333333
"241",241,5,3,1,12,2,0,0,0,0.5,0.5,0.666666666666667
"242",242,5,3,2,13,2,0.5,0,0,0.5,0.5,0.5
"243",243,5,3,3,14,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"244",244,5,3,4,15,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"245",245,5,3,5,16,2,0,0,0,0.666666666666667,0.5,0.666666666666667
"246",246,5,3,6,17,2,0,0,0.333333333333333,0.5,0.5,0.5
"247",247,5,4,1,18,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"248",248,5,4,2,19,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"249",249,5,4,3,20,2,0,0,0,0.666666666666667,0.5,0.5
"250",250,5,4,4,21,2,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333
"251",251,5,4,5,22,2,0,0,0,0.666666666666667,0.833333333333333,0.833333333333333
"252",252,5,4,6,23,2,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333
"253",253,5,5,1,24,2,0,0,0,0.5,0.5,0.5
"254",254,5,5,2,25,2,0,0,0,0.666666666666667,0.833333333333333,0.833333333333333
"255",255,5,5,3,26,2,0,0,0,0.666666666666667,0,0.833333333333333
"256",256,5,5,4,27,2,0,0,0,0.666666666666667,0.5,0.5
"257",257,5,5,5,28,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"258",258,5,5,6,29,2,0,0,0,0.666666666666667,0.5,0.666666666666667
"259",259,5,6,1,30,2,0,0,0,0.5,0.666666666666667,0.666666666666667
"260",260,5,6,2,31,2,0,0,0,0.5,0.5,0.5
"261",261,5,6,3,32,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"262",262,5,6,4,33,2,0,0,0,0.833333333333333,0.666666666666667,0.666666666666667
"263",263,5,6,5,34,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"264",264,5,6,6,35,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"265",265,5,7,1,36,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"266",266,5,7,2,37,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"267",267,5,7,3,38,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"268",268,5,7,4,39,2,0,0,0,0.666666666666667,0.833333333333333,0.833333333333333
"269",269,5,7,5,40,2,0,0,0,0.5,0.5,0.5
"270",270,5,7,6,41,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"271",271,5,8,1,42,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"272",272,5,8,2,43,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"273",273,5,8,3,44,2,0,0,0,0.5,0.5,0.5
"274",274,5,8,4,45,2,0,0,0,0.5,0.166666666666667,0.5
"275",275,5,8,5,46,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"276",276,5,8,6,47,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"277",277,5,9,1,48,2,0,0,0,0.5,0.5,0.5
"278",278,5,9,2,49,2,0,0,0,0.5,0.333333333333333,0.5
"279",279,5,9,3,50,2,0,0,0.166666666666667,0.666666666666667,0.5,0.5
"280",280,5,9,4,51,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"281",281,5,9,5,52,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"282",282,5,9,6,53,2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667
"283",283,6,1,1,0,0,NA,NA,NA,NA,NA,NA
"284",284,6,1,2,1,2,0.5,0.5,0.666666666666667,0.5,0.333333333333333,0.333333333333333
"285",285,6,1,3,2,2,0.166666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.166666666666667
"286",286,6,1,4,3,2,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
"287",287,6,1,5,4,2,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
"288",288,6,1,6,5,2,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"289",289,6,2,1,6,2,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.333333333333333
"290",290,6,2,2,7,2,0.333333333333333,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333
"291",291,6,2,3,8,2,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.333333333333333
"292",292,6,2,4,9,2,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
"293",293,6,2,5,10,2,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333
"294",294,6,2,6,11,2,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"295",295,6,3,1,12,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"296",296,6,3,2,13,2,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.5
"297",297,6,3,3,14,2,0.333333333333333,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"298",298,6,3,4,15,2,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"299",299,6,3,5,16,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5
"300",300,6,3,6,17,0,NA,NA,NA,NA,NA,NA
"301",301,6,4,1,18,0,NA,NA,NA,NA,NA,NA
"302",302,6,4,2,19,2,0.166666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"303",303,6,4,3,20,2,0.166666666666667,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333
