"","X","ID","day","beep","observationID","missing","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"96",96,4,3,4,12,0,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0
"97",97,4,4,1,13,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,1,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0
"98",98,4,4,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,4,4,3,15,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0,0
"100",100,4,4,4,16,0,0.333333333333333,0.333333333333333,0,1,0.666666666666667,0.333333333333333,1,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0
"101",101,4,5,1,17,0,0.666666666666667,1,1,1,0.666666666666667,0.333333333333333,1,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0
"102",102,4,5,2,18,0,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0.666666666666667,0
"103",103,4,5,3,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,4,5,4,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,4,6,1,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,4,6,2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,4,6,3,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,4,6,4,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,4,7,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,4,7,2,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,4,7,3,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,4,7,4,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,5,1,2,2,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0,0,0.333333333333333
"115",115,5,1,3,3,0,0,0,0,0.333333333333333,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0
"116",116,5,1,4,4,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0
"117",117,5,2,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,5,2,2,6,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,1,0,0,0.333333333333333
