"","ID","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"61",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",68,0.181577352304861,0.258505026610205,0.111284779868379,0.224696317111493,0.150194318339081,0.184010139482202,0.18805976762714,0.184108097810625,0.141577705491217,0.212897045466153
"63",69,0.0938403792858397,0.192488874444769,0.150463597044887,0.127380885224402,0.133569455322963,0.177597160868685,0.00817243611153161,0.187009064632029,0.0493481792784328,0.109714759876662
"64",70,0.0140584154554402,0.138293281351265,0.124427924957855,0.0406045449856691,0.129052747523057,0.141157242556795,0.144243157339533,0.13180305158169,6.26350147725375e-07,0.212579669525273
"65",71,0.0330256197971338,0.105995206948714,0.0751496508180135,0.0856052973335383,0.0613893472969288,0.045706316393416,0.0603264983150143,0.070752015459897,0.0175436493252927,0.121540573987801
"66",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",77,0.0966090378054096,0.190301390390516,0.179585590533206,0.181564852056092,0.140472942901713,0.146941086728304,0.125722073899349,0.237315321702948,0.129950854325517,0.191506631448369
"72",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",79,0.0313853420473304,0.118834177197031,0.158956484429511,0.101146540186354,0.135071602198436,0.117713829887931,0.129291813289855,0.0320180296393798,0.0845673334013692,0.176112411183498
"74",80,0.0872171740264072,0.314078794900044,0.242234950889205,0.210083077755029,0.21058198307651,0.219313631704393,2.67625908128631e-06,0.186528688995918,0.117884636293911,0.105705852281459
"75",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",83,0.462049779122985,0.336548423034135,0.364009330475361,0.221424295001826,0.179647959332605,0.282226634401871,0.298698487911999,0.306431805672464,0.441166050350544,0.486119883767883
"77",84,0.200181765895691,0.120095031087543,0.150930670333167,0.223931834000647,0.215986883566512,0.11513635120626,0.263918240752625,0.138321656883844,0.210902059766652,0.208377854871481
"78",85,0.157225853280681,0.0193088660453186,0.026489780386177,0.0930882554215133,0.0130836533866156,0.0296254273396433,0.0461235110254599,0.0203642583655861,0.0751515938198473,0.0400048510292739
