"","ID","Nervous","Downhearted","Distressed","Happy","Relaxed","Content"
"35",35,0.12128578325214,0.135557982979355,0.0662416377308793,0.22146861026831,0.20154028164244,0.266449717679541
"36",36,0.115118677209945,0.164461534193732,0.158476846221921,0.0913287545382617,0.0955253890048838,0.0830874745064367
"37",37,0.134502087768106,0.0710417778935923,0.104529537729517,0.0833887066777323,0.10930796941086,0.12644748242999
"38",38,0.161241428837674,0.172711326794871,0.254838364783449,0.177117944946448,0.192095110973011,0.118452184498384
"39",39,NA,NA,NA,NA,NA,NA
"40",40,0.0778104131482528,0.291592705051076,0.289806478285361,0.31277763473429,0.366227825606054,0.333581197585238
"41",41,0.232501855002977,0.151691206128476,0.181840403177681,0.120992863784795,0.21258408736283,0.15718788368392
"42",42,NA,NA,NA,NA,NA,NA
"43",43,0.103662586574855,0.160040868490227,0.207586105737531,0.17455275059526,0.107097618492366,0.154580092158995
"44",44,0.0271317829457364,0.0387596899224806,0.062015503875969,0.00775193798449569,0.0871485968343398,0.0116279069767439
"45",45,0.0959523096625153,0.193523581095892,0.126445864250691,0.161164081094269,0.183142103292117,0.163862825266147
"46",46,0.0989648067597977,0.0996260538134215,0.11185731595446,0.0928772508554025,0.129826561829268,0.102608898106956
"47",47,0.384275886359492,0.124777073864124,0.191654243743534,0.0516977946993821,0.396827770884617,0.296648154065323
"48",48,NA,NA,NA,NA,NA,NA
"49",49,0.368743372713932,0.12147256856218,0.228521037239108,0.276727036269876,0.187464546699589,0.303367900991081
"50",50,NA,NA,NA,NA,NA,NA
"51",51,0.122676638920984,0.17768063835628,0.0999464020245937,0.097593699086418,0.208507047816763,0.116513010276703
"52",52,0.186054691136076,0.215100568876537,0.212156841861907,0.128297852824351,0.170472921262072,0.233419039200385
"53",53,0.193815782909304,0.0486249370163225,0.126246907743156,0.105749564663392,0.101526627601764,0.0806959160507446
"54",54,0.181557005381368,0.28962676508854,0.236746119298166,0.18844499729795,0.258336460951488,0.19612211554523
"55",55,0.047929931555814,0.113221746413092,0.329417231914755,0.125435704047359,0.131443241463378,0.0884929981666869
"56",56,0.303952216234156,0.180462796174081,0.142119308429476,0.164495008510184,0.104369239122405,0.163337443890864
"57",57,0.137610966224648,0.119361371070752,0.121565270673219,0.0205492991786644,0.197904681833786,0.167814710986696
"58",58,0.229506562725518,0.0879555874670778,0.06807537126743,0.151740495001259,0.235274801842011,0.135030208326973
"59",59,0.106492316183347,0.12724621361284,0.081025136672105,0.0951854431327612,0.0457224086594025,0.136083708839106
"60",60,0.203525000676614,0.145947009060692,0.16705080067975,0.124914742628786,0.140179595854198,0.194804784830248
"61",61,0.32710537063361,0.191990807462183,0.201448044061034,0.222766067169161,0.189886266364361,0.216911161051536
"62",62,0.152226428250606,0.133792064315651,0.232582585238171,0.15357319950981,0.0817689302171773,0.122838521964522
"63",63,NA,NA,NA,NA,NA,NA
"64",64,0.316452673588691,0.101552200785801,0.16047810301415,0.266664903514827,0.298574613725348,0.268024530773229
"65",65,0.191618012986065,0.150242528145975,0.12612302186124,0.234019162627745,0.260269160321236,0.210750660766897
"66",66,0.202742394695788,0.13823218661742,0.0897673797072456,0.125854101305636,0.0931321138612849,0.243883828238055
"67",67,NA,NA,NA,NA,NA,NA
"68",68,NA,NA,NA,NA,NA,NA
"69",69,NA,NA,NA,NA,NA,NA
"70",70,0.188205154115377,0.13560719425686,0.0690150231911762,0.22404367078195,0.344921100037194,0.206299117984929
