"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"57",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",137,0.203847187678541,0.1545752184944,0.123587708693742,0.179446384922896,0.227970047645286,0.232107082926705,0.262595909122823,0.28259787583674,0.195507392349924,0.148901763291232,0.199522043072106,0.171442057384953,0.235401505594207,0.147872888593687,0.14130012788967,0.227970047652147,0.181047134010091,0.158463997488504,0.0980559571831236,0.127133988340845,0.257495670477248,0.231994047262508,0.291335192581784,0.231642995764346,0.250974662501648,0.217828761535776,0.125402888968273,0.219370185349393,0.203701964520546,0.186766817238264,0.103605582498247,0.352431156378624,0.363567923770154,0.188655045347125,0.225120013003006,0.158870924718812,0.370641568396226,0.237537490724046
"59",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",148,0.188071634528199,0.278551097751339,0.250608851809092,0.0630975014006293,0.118084163305429,0.172310367326159,0.249999993597785,0.189766786684672,0.222895366232736,0.201636993303444,0.0904097902423353,0.0673118824118414,0.24227779888006,0.269591093472693,0.367025778614863,0.195188624043527,0.152848713310407,0.105189341241583,0.275647124277578,0.131278444209752,0.270050391458654,0.261824203448329,0.278165096457769,0.0899573249545105,0.413597242028064,0.213116724352326,0.259452389752053,0.472210407712085,0.130719004261315,0.224064867323481,0.150866038182183,0.103325620324674,0.2442676095407,0.21316218404294,0.403342224582256,0.168595099136091,0.31024806180739,0.120572542846896
"62",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
